@relation ephenology_all-5-fold-1-08G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.341463,0.340967,0.332627,0.335079,0.33574,0.337398,0.346405,0.34898,0.334702,0.348315,0.356701,0.362069,0.350797,0.353107,0.357724,0.35625,0.354839,0.353952,0.353659,0.359621,0.370482,0.358804,0.362667,0.357895,0.359589,0.35316,0.345238,0.354331,0.348276,0.342466,0.374172,0.363874,0.356522,0.362606,0.348315,0.34252,0.355392,5284,C.brasiliensis
0.333849,0.320896,0.323099,0.329545,0.329986,0.326055,0.327485,0.331404,0.329529,0.330233,0.332317,0.330532,0.334232,0.329496,0.327536,0.327611,0.328909,0.315335,0.331927,0.329023,0.329771,0.327842,0.323204,0.322464,0.322878,0.320635,0.330523,0.326252,0.330793,0.324695,0.328149,0.326656,0.322115,0.319277,0.313131,0.322785,0.320814,4446,P.torta
0.335616,0.348592,0.35514,0.349359,0.345455,0.348974,0.345029,0.339572,0.343931,0.359322,0.352941,0.353333,0.346875,0.351449,0.346154,0.351351,0.346875,0.347368,0.35249,0.344262,0.348315,0.344828,0.355482,0.353147,0.346154,0.345679,0.340909,0.352025,0.352584,0.353293,0.352313,0.345912,0.346154,0.347541,0.346269,0.343465,0.352941,5014,C.brasiliensis
0.328165,0.339888,0.329327,0.331066,0.336634,0.339474,0.331551,0.337423,0.333333,0.326975,0.333333,0.34058,0.332564,0.323899,0.338509,0.339339,0.33657,0.336364,0.323529,0.332203,0.323741,0.329268,0.3325,0.332308,0.336601,0.336022,0.33253,0.338542,0.328431,0.330317,0.3379,0.330416,0.332579,0.337662,0.335616,0.330357,0.338061,3558,M.rubiginosa
0.347181,0.344173,0.349638,0.344068,0.342294,0.352137,0.350759,0.351027,0.349823,0.346693,0.348228,0.345845,0.346479,0.337386,0.339593,0.347603,0.347992,0.341598,0.333333,0.342488,0.340611,0.341977,0.339394,0.34104,0.343486,0.339383,0.335017,0.342059,0.343434,0.340989,0.338542,0.338658,0.339071,0.338109,0.340686,0.336493,0.337478,3746,P.ramiflora
0.34308,0.3325,0.340949,0.338762,0.339344,0.337522,0.340909,0.341317,0.343936,0.344156,0.345291,0.34763,0.342163,0.346895,0.342612,0.35041,0.344754,0.356589,0.343066,0.342799,0.347826,0.334096,0.350877,0.341207,0.338936,0.336303,0.341067,0.342105,0.343612,0.340866,0.336049,0.3375,0.346491,0.348039,0.35,0.338828,0.336323,5432,C.brasiliensis
0.335085,0.336898,0.333333,0.335085,0.335085,0.336856,0.336856,0.335085,0.333333,0.333809,0.333333,0.335556,0.322266,0.335526,0.335092,0.336449,0.337449,0.333832,0.336898,0.335526,0.33557,0.335598,0.344754,0.340164,0.337032,0.34153,0.336898,0.337856,0.341598,0.341962,0.340164,0.342936,0.341429,0.341935,0.340807,0.341632,0.343434,3461,M.rubiginosa
0.363148,0.359116,0.347534,0.354582,0.350476,0.349099,0.352018,0.356044,0.355932,0.358447,0.353604,0.353562,0.348889,0.35,0.347727,0.34902,0.345238,0.35023,0.354023,0.34292,0.353043,0.338912,0.351145,0.345771,0.346809,0.343496,0.348684,0.342342,0.343811,0.349057,0.345018,0.344894,0.344758,0.345652,0.334686,0.334008,0.347439,4984,C.brasiliensis
0.342857,0.34375,0.339662,0.352564,0.341053,0.348946,0.352941,0.34633,0.346154,0.344498,0.348958,0.346311,0.347656,0.346939,0.342318,0.341667,0.354497,0.35468,0.34593,0.340909,0.337884,0.33557,0.352031,0.346479,0.347826,0.339662,0.345898,0.341176,0.345494,0.349451,0.346237,0.349666,0.347458,0.351986,0.350084,0.34,0.34308,5301,C.brasiliensis
