@relation ephenology_all-5-fold-5-13B.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {C.brasiliensis,M.rubiginosa,P.torta,A.tomentosum,P.ramiflora,M.guianensis}

@data

0.326848,0.341598,0.335849,0.345382,0.336032,0.343874,0.345098,0.335878,0.335821,0.34386,0.334963,0.345845,0.337037,0.343042,0.33564,0.346278,0.322388,0.344322,0.335938,0.326772,0.326996,0.335312,0.325843,0.327922,0.336088,0.326772,0.325758,0.326087,0.325843,0.317518,0.317164,0.320635,0.333333,0.319797,0.313084,0.322581,2513,P.torta
0.323276,0.321981,0.323077,0.325671,0.328358,0.328302,0.335714,0.326599,0.327526,0.328814,0.321149,0.321101,0.313531,0.310559,0.311644,0.342857,0.326733,0.311864,0.307116,0.307692,0.307692,0.325806,0.307985,0.317518,0.326154,0.30855,0.309609,0.323232,0.319853,0.312268,0.304029,0.302158,0.325153,0.309598,0.335821,0.335793,1417,C.brasiliensis
0.295238,0.311512,0.309446,0.308725,0.310345,0.311178,0.312684,0.31339,0.308357,0.299451,0.299817,0.307522,0.294766,0.302872,0.299451,0.312336,0.310241,0.30117,0.291545,0.291291,0.296636,0.311828,0.283784,0.300912,0.307692,0.292359,0.286174,0.293548,0.285714,0.266409,0.289855,0.290123,0.297521,0.298701,0.303207,0.290735,1792,M.rubiginosa
0.264605,0.274648,0.268707,0.281967,0.283333,0.268293,0.269737,0.262069,0.271242,0.272436,0.256818,0.264706,0.267101,0.26935,0.272727,0.281787,0.276596,0.267797,0.265993,0.263699,0.261484,0.279793,0.274306,0.266862,0.282967,0.287234,0.274194,0.273006,0.283951,0.264615,0.283133,0.264624,0.277108,0.278947,0.27821,0.280453,4463,C.brasiliensis
0.331492,0.358025,0.348485,0.345679,0.351562,0.356589,0.338028,0.328767,0.339394,0.34104,0.333333,0.334906,0.344156,0.343195,0.333333,0.371429,0.350365,0.355556,0.36,0.341085,0.357143,0.35,0.335938,0.326389,0.339623,0.349206,0.328358,0.35,0.335714,0.323741,0.34058,0.329341,0.345178,0.333333,0.377778,0.344371,6291,P.torta
0.325103,0.322674,0.330579,0.316964,0.315353,0.315789,0.316794,0.302239,0.309859,0.311864,0.305687,0.307494,0.28839,0.298969,0.313559,0.322917,0.314642,0.296154,0.307339,0.305556,0.30531,0.314448,0.307692,0.309609,0.315364,0.317708,0.314815,0.318182,0.316038,0.306306,0.315534,0.311741,0.325444,0.32342,0.33617,0.320675,1160,C.brasiliensis
0.27551,0.265909,0.279923,0.276284,0.283298,0.278618,0.271493,0.268657,0.278689,0.274194,0.27422,0.273438,0.268966,0.276289,0.277078,0.281501,0.276056,0.27088,0.268018,0.268722,0.276458,0.287305,0.272931,0.268692,0.281174,0.274,0.281853,0.285433,0.276859,0.277433,0.277662,0.274029,0.291169,0.29222,0.287197,0.287016,4540,C.brasiliensis
0.276923,0.265823,0.289617,0.288344,0.28125,0.276316,0.273743,0.282486,0.279279,0.281853,0.281579,0.288079,0.290598,0.282258,0.274112,0.307971,0.289474,0.29368,0.290043,0.284553,0.28821,0.288079,0.285047,0.275,0.30031,0.29148,0.287081,0.29108,0.28125,0.261538,0.265625,0.277108,0.289902,0.292308,0.291228,0.289256,5339,C.brasiliensis
0.273973,0.265487,0.26935,0.271084,0.276657,0.273504,0.258065,0.266667,0.265487,0.26455,0.280328,0.287356,0.263456,0.276119,0.268293,0.279255,0.271903,0.275449,0.268293,0.281437,0.274924,0.271635,0.270588,0.262712,0.274074,0.267516,0.267806,0.27957,0.274286,0.275362,0.272727,0.276882,0.280093,0.288265,0.283673,0.294906,3841,M.rubiginosa
