@relation ephenology_all-5-fold-3-13R.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {C.brasiliensis,P.ramiflora,P.torta,M.rubiginosa,M.guianensis,A.tomentosum}

@data

0.363363,0.358268,0.347594,0.33033,0.336134,0.346062,0.335784,0.353488,0.330579,0.357143,0.341948,0.327381,0.332317,0.344828,0.349823,0.330097,0.333333,0.351351,0.364286,0.341216,0.341379,0.354331,0.35,0.32899,0.351449,0.350797,0.336364,0.349398,0.358974,0.353659,0.351852,0.34,0.348276,0.351171,0.349673,0.33829,5546,P.torta
0.372038,0.372654,0.372396,0.364583,0.366925,0.371007,0.377088,0.377129,0.377892,0.371622,0.368237,0.365729,0.376499,0.380048,0.377049,0.356627,0.369369,0.369727,0.371508,0.370166,0.369973,0.361702,0.369681,0.368039,0.364078,0.37018,0.376289,0.367246,0.375661,0.373239,0.375,0.377049,0.366234,0.371901,0.363985,0.367609,5354,C.brasiliensis
0.351097,0.353933,0.348837,0.340659,0.342857,0.338926,0.341853,0.341935,0.343643,0.346505,0.357895,0.348083,0.345912,0.346505,0.353175,0.339934,0.352273,0.345763,0.350365,0.343972,0.341297,0.354015,0.349823,0.352542,0.352941,0.350943,0.343173,0.35034,0.352273,0.350877,0.354962,0.355623,0.342857,0.339623,0.349624,0.342561,2999,P.ramiflora
0.348404,0.34714,0.343434,0.345404,0.339572,0.345771,0.337766,0.343284,0.347258,0.349367,0.351629,0.351421,0.34375,0.344411,0.350267,0.345912,0.348837,0.34292,0.345133,0.34292,0.343478,0.347107,0.34748,0.354839,0.348195,0.352518,0.346237,0.351111,0.349892,0.35307,0.352018,0.355392,0.348519,0.346369,0.348131,0.345588,3161,P.ramiflora
0.285714,0.274368,0.266667,0.263158,0.273381,0.282759,0.281879,0.288732,0.287234,0.272727,0.303835,0.292254,0.295302,0.281768,0.297143,0.271478,0.298077,0.288462,0.302158,0.304348,0.302013,0.28125,0.296053,0.283582,0.298182,0.305344,0.307692,0.294479,0.308219,0.311688,0.308725,0.291429,0.290441,0.294686,0.281081,0.299401,6371,P.torta
0.324759,0.328691,0.322581,0.321543,0.321429,0.323529,0.322785,0.325153,0.325228,0.327635,0.33652,0.331818,0.334356,0.333333,0.335347,0.328431,0.336986,0.332237,0.33101,0.33574,0.326165,0.331492,0.336996,0.33,0.33012,0.327206,0.328413,0.330935,0.335821,0.33829,0.335907,0.329749,0.327536,0.328358,0.329377,0.327068,2934,P.torta
0.371345,0.37218,0.364146,0.355422,0.358491,0.363322,0.361564,0.363322,0.363014,0.358757,0.365385,0.357576,0.358601,0.365123,0.367347,0.342949,0.356589,0.353846,0.363333,0.365696,0.355422,0.362857,0.361032,0.361564,0.363014,0.360595,0.360927,0.359621,0.360294,0.365079,0.360927,0.367232,0.352761,0.352632,0.362667,0.363158,5663,C.brasiliensis
0.37963,0.358639,0.365854,0.353741,0.371069,0.366864,0.366812,0.364407,0.366255,0.364372,0.371158,0.361413,0.368421,0.365546,0.37037,0.339416,0.361217,0.361502,0.368932,0.366667,0.369668,0.368098,0.377193,0.369637,0.359331,0.378641,0.375,0.368217,0.37037,0.378049,0.372385,0.37931,0.363881,0.367424,0.370748,0.364985,4370,M.rubiginosa
0.349057,0.35503,0.341818,0.341818,0.349481,0.344262,0.342949,0.352349,0.344156,0.34891,0.358974,0.352584,0.35,0.347692,0.356364,0.339506,0.350181,0.344156,0.348387,0.347403,0.352381,0.353135,0.349153,0.354515,0.355828,0.357388,0.354633,0.349359,0.35274,0.357143,0.354515,0.356707,0.35625,0.349727,0.344937,0.338608,2998,P.ramiflora
0.377604,0.37037,0.37574,0.381944,0.380328,0.378788,0.372703,0.372642,0.369792,0.381679,0.374138,0.369369,0.375706,0.375,0.375,0.367347,0.37574,0.373219,0.376855,0.377246,0.375723,0.379781,0.378531,0.372197,0.382488,0.376147,0.379404,0.371212,0.382022,0.378619,0.380435,0.368085,0.365949,0.374728,0.375,0.372032,4241,M.rubiginosa
0.320475,0.3219,0.304918,0.3125,0.314754,0.310897,0.309904,0.3125,0.307229,0.313726,0.318982,0.317241,0.317901,0.313158,0.314869,0.307512,0.32021,0.311377,0.315457,0.321767,0.313846,0.315421,0.322981,0.325843,0.322981,0.315951,0.324074,0.327327,0.328358,0.327434,0.326471,0.324859,0.32043,0.320755,0.32377,0.320475,3238,P.torta
0.388889,0.399194,0.384615,0.394737,0.382812,0.384615,0.389356,0.384236,0.382682,0.387255,0.393939,0.379661,0.380184,0.38322,0.375,0.364821,0.383142,0.376147,0.376652,0.386091,0.387013,0.405622,0.395137,0.414716,0.397924,0.401617,0.410405,0.40625,0.405844,0.398936,0.427119,0.39207,0.383621,0.410256,0.386973,0.388298,7335,M.rubiginosa
0.370709,0.394737,0.376963,0.373102,0.378082,0.378082,0.376289,0.380208,0.377604,0.37619,0.370968,0.370629,0.382586,0.377315,0.383978,0.36,0.372781,0.364653,0.375635,0.377604,0.371921,0.371663,0.381201,0.376499,0.377863,0.378251,0.379653,0.376812,0.384021,0.380952,0.380829,0.377171,0.370044,0.381551,0.378472,0.371015,5251,C.brasiliensis
0.36859,0.376093,0.358362,0.37037,0.366071,0.363636,0.356287,0.367647,0.371875,0.375706,0.376923,0.371212,0.369775,0.370262,0.388889,0.33908,0.35625,0.366667,0.359649,0.357143,0.36193,0.365566,0.380383,0.382653,0.373984,0.357143,0.371795,0.373494,0.381381,0.370968,0.38,0.380829,0.364991,0.358916,0.363636,0.358696,4644,M.guianensis
0.342342,0.342424,0.33945,0.334356,0.338462,0.337461,0.341463,0.341772,0.334375,0.340426,0.347561,0.340845,0.343972,0.340361,0.341853,0.329231,0.340659,0.337255,0.34413,0.344538,0.338645,0.342342,0.340996,0.34471,0.342262,0.337349,0.345528,0.346008,0.341176,0.344828,0.341085,0.342105,0.332425,0.340782,0.335766,0.338235,4950,P.torta
0.382184,0.371968,0.375328,0.372796,0.376,0.377717,0.384384,0.387879,0.373178,0.378698,0.379771,0.36855,0.390093,0.382514,0.378082,0.365922,0.370821,0.380062,0.385714,0.383523,0.381657,0.375904,0.388889,0.386628,0.383838,0.390501,0.38,0.379121,0.382979,0.392962,0.389356,0.386487,0.375,0.382353,0.379771,0.371508,4881,C.brasiliensis
0.353846,0.365559,0.357759,0.360731,0.349754,0.357143,0.348485,0.354839,0.351111,0.35,0.359551,0.351724,0.348837,0.349693,0.35122,0.339768,0.353535,0.363158,0.368421,0.358025,0.371622,0.354305,0.364706,0.364444,0.370492,0.373984,0.371212,0.362573,0.357143,0.377246,0.362573,0.380952,0.362745,0.376289,0.376147,0.374074,4175,M.rubiginosa
0.279601,0.330688,0.248841,0.250765,0.268786,0.264793,0.267356,0.277143,0.30411,0.295423,0.329333,0.335544,0.27482,0.318121,0.307902,0.338667,0.312585,0.305062,0.273775,0.269006,0.29931,0.265554,0.297372,0.303155,0.333777,0.263238,0.293872,0.264706,0.289916,0.299724,0.286319,0.307902,0.332447,0.310719,0.31479,0.307377,2746,M.rubiginosa
