@relation ephenology_all-5-fold-5-13R.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {C.brasiliensis,M.rubiginosa,P.torta,A.tomentosum,P.ramiflora,M.guianensis}

@data

0.326848,0.322314,0.320755,0.317269,0.319838,0.316206,0.317647,0.320611,0.320896,0.319298,0.325183,0.321716,0.322222,0.320388,0.321799,0.317152,0.337313,0.318681,0.324219,0.326772,0.326996,0.323442,0.329588,0.327922,0.325069,0.326772,0.329545,0.32971,0.329588,0.332117,0.33209,0.330159,0.325581,0.332487,0.341121,0.329749,2513,P.torta
0.344828,0.343653,0.346154,0.337165,0.335821,0.335849,0.332143,0.343434,0.334495,0.335593,0.342037,0.342508,0.339934,0.347826,0.342466,0.330159,0.343234,0.338983,0.35206,0.342308,0.342308,0.351613,0.342205,0.354015,0.350769,0.360595,0.348754,0.3367,0.338235,0.349442,0.358974,0.352518,0.349693,0.362229,0.339552,0.339483,1417,C.brasiliensis
0.355556,0.34763,0.345277,0.342282,0.338558,0.338369,0.345133,0.344729,0.340058,0.343407,0.347349,0.34292,0.352617,0.349869,0.348901,0.338583,0.346386,0.342105,0.35277,0.345345,0.351682,0.33871,0.351351,0.352584,0.342432,0.348837,0.350482,0.348387,0.351916,0.359073,0.34058,0.342593,0.338843,0.34026,0.338192,0.341853,1792,M.rubiginosa
0.378007,0.373239,0.37415,0.373771,0.37,0.376307,0.371711,0.37931,0.372549,0.371795,0.388636,0.375817,0.374593,0.374613,0.373377,0.371134,0.37234,0.376271,0.380471,0.380137,0.378092,0.373057,0.375,0.378299,0.373626,0.368794,0.374194,0.371166,0.367284,0.381538,0.373494,0.384401,0.373494,0.373684,0.377432,0.368272,4463,C.brasiliensis
0.342541,0.320988,0.325758,0.320988,0.320312,0.317829,0.330986,0.335616,0.333333,0.34104,0.336667,0.334906,0.337662,0.331361,0.348148,0.314286,0.321168,0.318519,0.328,0.341085,0.333333,0.333333,0.328125,0.340278,0.334906,0.325397,0.343284,0.335714,0.335714,0.345324,0.34058,0.335329,0.329949,0.35119,0.318519,0.337748,6291,P.torta
0.337449,0.337209,0.326446,0.330357,0.33195,0.331984,0.332061,0.335821,0.330986,0.328814,0.336493,0.333333,0.337079,0.333333,0.330508,0.322917,0.330218,0.334615,0.334862,0.333333,0.331858,0.331445,0.32906,0.33452,0.331536,0.328125,0.328704,0.326446,0.330189,0.333333,0.330097,0.331984,0.328402,0.330855,0.323404,0.329114,1160,C.brasiliensis
0.365306,0.361364,0.362934,0.361858,0.35518,0.362851,0.368778,0.366738,0.362998,0.364055,0.366174,0.351562,0.370115,0.364948,0.36272,0.348525,0.36338,0.365688,0.364865,0.370044,0.367171,0.358575,0.364653,0.371495,0.364303,0.37,0.370656,0.366142,0.376033,0.372671,0.373695,0.376278,0.360382,0.364326,0.363322,0.36902,4540,C.brasiliensis
0.389744,0.409283,0.387978,0.380368,0.39375,0.381579,0.391061,0.384181,0.387387,0.389961,0.384211,0.380795,0.388889,0.383065,0.390863,0.362319,0.381579,0.371747,0.372294,0.386179,0.384279,0.384106,0.378505,0.395833,0.371517,0.372197,0.37799,0.380282,0.395833,0.394872,0.401042,0.385542,0.374593,0.376923,0.382456,0.380165,5339,C.brasiliensis
0.369863,0.376106,0.371517,0.370482,0.368876,0.37037,0.378299,0.373913,0.374631,0.375661,0.365574,0.365517,0.382436,0.373134,0.379404,0.367021,0.371601,0.377246,0.381098,0.371257,0.36858,0.379808,0.376471,0.384181,0.380247,0.375796,0.376068,0.373656,0.377143,0.373913,0.380682,0.38172,0.372685,0.375,0.373469,0.36193,3841,M.rubiginosa
0.345277,0.344828,0.336957,0.337662,0.326772,0.337165,0.338462,0.346535,0.350482,0.351852,0.35009,0.349367,0.343164,0.34957,0.355114,0.321168,0.353933,0.344051,0.341085,0.34127,0.343284,0.331288,0.330709,0.342949,0.340599,0.335025,0.344498,0.334746,0.334572,0.344978,0.33617,0.339041,0.330601,0.338415,0.330677,0.336032,4832,P.torta
0.331984,0.348432,0.333333,0.338384,0.335,0.340426,0.336788,0.340102,0.333333,0.34127,0.347826,0.350932,0.357143,0.346614,0.353175,0.334532,0.352727,0.341564,0.35,0.348361,0.353191,0.347368,0.346614,0.34749,0.348684,0.346774,0.3375,0.336032,0.343612,0.344538,0.340517,0.341085,0.335526,0.337423,0.332,0.333333,1223,C.brasiliensis
0.387454,0.383212,0.384298,0.374517,0.384259,0.393204,0.380165,0.391089,0.384615,0.393574,0.394118,0.387097,0.395,0.382239,0.383562,0.354839,0.370229,0.368876,0.371069,0.369822,0.371622,0.368715,0.382075,0.383562,0.373984,0.367742,0.391705,0.396135,0.382222,0.384615,0.399015,0.384365,0.385382,0.378676,0.38484,0.366755,4643,M.rubiginosa
0.380952,0.370741,0.367886,0.374737,0.366953,0.367946,0.371158,0.377273,0.372685,0.370143,0.365269,0.368737,0.369955,0.366379,0.365432,0.355748,0.364734,0.37037,0.36689,0.369159,0.368182,0.358696,0.363636,0.366292,0.356436,0.370455,0.369515,0.364253,0.376777,0.371824,0.373522,0.373034,0.371111,0.365989,0.366834,0.359823,5193,C.brasiliensis
0.369176,0.379699,0.3663,0.368056,0.368056,0.373016,0.369048,0.388186,0.375,0.377163,0.37284,0.369492,0.385246,0.390071,0.389671,0.362205,0.369478,0.409524,0.391753,0.396739,0.422619,0.371429,0.406863,0.38843,0.377049,0.39779,0.375,0.38565,0.388626,0.373832,0.369668,0.386555,0.378698,0.378049,0.377358,0.37551,4588,C.brasiliensis
0.359066,0.37469,0.373585,0.375385,0.369146,0.388679,0.366848,0.37018,0.373377,0.370732,0.377897,0.372671,0.379404,0.369085,0.39661,0.361868,0.387665,0.370098,0.397959,0.380463,0.378897,0.384615,0.382445,0.38961,0.383285,0.460938,0.395189,0.38,0.386905,0.383562,0.368286,0.380577,0.37234,0.38149,0.368324,0.351351,4120,M.rubiginosa
0.380682,0.374251,0.374648,0.372222,0.373938,0.377143,0.378224,0.383285,0.376437,0.38342,0.380074,0.379888,0.380054,0.378082,0.372032,0.347594,0.361775,0.360526,0.362903,0.362924,0.359043,0.364103,0.364902,0.363881,0.359694,0.358173,0.365729,0.359296,0.361809,0.368831,0.362963,0.366995,0.357477,0.358268,0.364312,0.35732,4905,C.brasiliensis
0.373188,0.371711,0.373016,0.372385,0.371542,0.367589,0.375494,0.376984,0.368627,0.375,0.378251,0.36875,0.371429,0.37037,0.362903,0.359712,0.373494,0.374532,0.374046,0.374517,0.373134,0.366154,0.376426,0.373188,0.367164,0.376106,0.375,0.371841,0.377863,0.380783,0.376384,0.379195,0.369444,0.372549,0.370927,0.371429,4843,C.brasiliensis
0.368201,0.365625,0.368932,0.349282,0.357488,0.363636,0.366935,0.365297,0.360465,0.3625,0.370647,0.355491,0.371429,0.358621,0.369231,0.345196,0.366197,0.368056,0.375,0.378738,0.373626,0.371257,0.377224,0.368421,0.365079,0.373585,0.372822,0.372168,0.373333,0.372014,0.372093,0.369427,0.369628,0.370572,0.373171,0.375367,4654,C.brasiliensis
0.339416,0.339869,0.328244,0.33935,0.328302,0.339552,0.329545,0.337963,0.32963,0.330612,0.336022,0.327465,0.328829,0.338645,0.340426,0.322581,0.33871,0.338346,0.338346,0.33829,0.33829,0.33564,0.337165,0.352273,0.334471,0.339713,0.337349,0.33829,0.33871,0.338346,0.338521,0.33829,0.334426,0.342857,0.329268,0.334728,4561,P.torta
0.383142,0.367816,0.378472,0.359873,0.372937,0.381579,0.383333,0.378378,0.376667,0.380403,0.377232,0.371517,0.37574,0.378049,0.366762,0.353293,0.366197,0.369048,0.369501,0.369697,0.370717,0.366667,0.371212,0.374016,0.361823,0.367816,0.374468,0.37069,0.368421,0.373206,0.372449,0.375,0.366548,0.373333,0.364407,0.372093,3694,A.tomentosum
0.347656,0.35786,0.347826,0.345528,0.34749,0.349091,0.347079,0.347518,0.346429,0.350993,0.352423,0.347962,0.348123,0.354633,0.356643,0.339286,0.347826,0.355172,0.358885,0.35461,0.353535,0.353312,0.355634,0.355263,0.357798,0.364238,0.357143,0.356913,0.366559,0.365079,0.361635,0.365031,0.35503,0.353247,0.356923,0.357367,3635,M.rubiginosa
