@relation ephenology_all-5-fold-3-14B.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {C.brasiliensis,P.ramiflora,P.torta,M.rubiginosa,M.guianensis,A.tomentosum}

@data

0.302752,0.319865,0.328244,0.316364,0.328767,0.323636,0.336158,0.318182,0.327635,0.31003,0.31769,0.344311,0.34202,0.337705,0.336957,0.326271,0.339207,0.328125,0.347826,0.352941,0.361538,0.35443,0.31746,0.330677,0.333333,0.327869,0.307971,0.336493,0.337398,0.335196,0.338384,0.319635,0.33945,0.325088,0.325301,0.339416,5546,P.torta
0.279452,0.276029,0.283333,0.289474,0.281768,0.286863,0.280323,0.272189,0.280899,0.289238,0.297688,0.289044,0.286104,0.284706,0.276347,0.289406,0.288248,0.291221,0.290909,0.292929,0.300268,0.29703,0.297872,0.317073,0.317308,0.296392,0.308108,0.297872,0.309659,0.297659,0.304762,0.295039,0.303665,0.295285,0.297539,0.300268,5354,C.brasiliensis
0.305949,0.30179,0.3125,0.305085,0.309278,0.300699,0.304207,0.291228,0.305994,0.298462,0.30742,0.313218,0.304615,0.303514,0.301282,0.29021,0.307692,0.301449,0.311644,0.300699,0.303887,0.302632,0.291339,0.318644,0.311258,0.302583,0.304511,0.303704,0.305556,0.29646,0.301038,0.307407,0.302632,0.298361,0.307453,0.30303,2999,P.ramiflora
0.301587,0.303867,0.295739,0.298469,0.303763,0.30179,0.300792,0.295213,0.30137,0.294118,0.289796,0.300971,0.291339,0.295515,0.292105,0.305987,0.305361,0.297483,0.310427,0.311301,0.311828,0.313333,0.302483,0.317757,0.306604,0.298475,0.30819,0.301843,0.309255,0.305,0.302277,0.29274,0.303398,0.300231,0.311065,0.300716,3161,P.ramiflora
0.376543,0.391586,0.386555,0.384,0.382353,0.381679,0.386861,0.393939,0.397849,0.379121,0.409836,0.39801,0.379182,0.395522,0.4,0.402439,0.395062,0.373984,0.405594,0.392593,0.408451,0.384615,0.364,0.402256,0.401786,0.376471,0.376623,0.384181,0.392727,0.388889,0.385057,0.383117,0.385057,0.370629,0.391534,0.394928,6371,P.torta
0.342193,0.348214,0.339041,0.34106,0.343234,0.33557,0.334437,0.325581,0.324324,0.319767,0.320872,0.314667,0.310427,0.301775,0.3,0.294798,0.302053,0.290865,0.294872,0.299363,0.297297,0.304918,0.304124,0.302857,0.305556,0.308108,0.304196,0.305085,0.304348,0.305755,0.290102,0.296167,0.298246,0.307692,0.30721,0.315104,2934,P.torta
0.290735,0.294304,0.306709,0.302721,0.300699,0.299296,0.302239,0.288618,0.304348,0.299401,0.307087,0.302548,0.308411,0.302548,0.293333,0.305648,0.30605,0.30814,0.311644,0.315615,0.317857,0.317308,0.310231,0.340502,0.328859,0.309764,0.313559,0.316176,0.334677,0.312217,0.3125,0.322464,0.316993,0.321875,0.326861,0.327526,5663,C.brasiliensis
0.280255,0.282238,0.278689,0.27907,0.281768,0.280899,0.271552,0.268085,0.275194,0.272059,0.285171,0.277154,0.277778,0.283505,0.268398,0.26943,0.281818,0.274021,0.274611,0.273196,0.286486,0.275862,0.275449,0.297491,0.289474,0.280374,0.279621,0.290456,0.286184,0.280423,0.280303,0.279835,0.277978,0.273775,0.283688,0.283537,4370,M.rubiginosa
0.290123,0.296791,0.306273,0.303371,0.302013,0.310231,0.301003,0.292683,0.304054,0.297468,0.297101,0.302181,0.289308,0.297578,0.298246,0.295533,0.299674,0.295265,0.30137,0.30719,0.304498,0.301003,0.29021,0.31457,0.320261,0.293729,0.308475,0.306667,0.307937,0.305344,0.302839,0.296928,0.297468,0.3,0.31405,0.310976,2998,P.ramiflora
