@relation ephenology_all-5-fold-4-14B.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {M.rubiginosa,P.torta,A.tomentosum,C.brasiliensis,M.guianensis,P.ramiflora}

@data

0.328025,0.325779,0.307246,0.326531,0.325513,0.311178,0.312121,0.30033,0.307692,0.324138,0.328358,0.307432,0.312312,0.321138,0.292969,0.300654,0.310897,0.298246,0.321285,0.291339,0.306397,0.287671,0.305019,0.328358,0.319149,0.309353,0.288703,0.292308,0.328358,0.301435,0.310811,0.3,0.298387,0.3213,0.300752,0.33829,4291,P.torta
0.345638,0.361582,0.34058,0.344697,0.348592,0.346429,0.337931,0.329825,0.334365,0.340116,0.346591,0.334232,0.3375,0.318452,0.325513,0.321839,0.336088,0.317708,0.322388,0.327103,0.321192,0.328125,0.333333,0.356061,0.350467,0.325137,0.319865,0.328173,0.348259,0.318471,0.322188,0.333333,0.323077,0.331579,0.361257,0.337531,821,M.rubiginosa
0.353791,0.359347,0.337423,0.343023,0.339394,0.332298,0.332298,0.336478,0.336182,0.333333,0.339806,0.335277,0.342711,0.339683,0.335385,0.341538,0.338028,0.318945,0.323263,0.323988,0.319355,0.320242,0.325203,0.350543,0.35023,0.32964,0.329966,0.33123,0.33871,0.327815,0.31875,0.319588,0.326923,0.322251,0.321429,0.333333,2796,P.torta
0.325088,0.343558,0.32646,0.331081,0.323232,0.314685,0.315068,0.308511,0.317757,0.313333,0.324503,0.325153,0.336683,0.317726,0.31457,0.316614,0.324176,0.305489,0.307927,0.305732,0.305732,0.304762,0.32021,0.333333,0.341463,0.313673,0.315436,0.311688,0.328395,0.310458,0.310769,0.315113,0.321656,0.325062,0.319218,0.333333,1805,A.tomentosum
0.284211,0.274788,0.281407,0.288462,0.29249,0.28839,0.274448,0.265683,0.270073,0.289941,0.291096,0.284375,0.283117,0.287234,0.27095,0.281513,0.293011,0.27897,0.284653,0.294574,0.292105,0.288,0.290155,0.323263,0.318841,0.305263,0.272727,0.294416,0.320261,0.292517,0.293194,0.282895,0.287449,0.299145,0.299107,0.302469,3617,A.tomentosum
0.273006,0.270777,0.277419,0.275974,0.276316,0.277228,0.278846,0.268707,0.276923,0.271642,0.284345,0.276353,0.282967,0.281734,0.274096,0.276817,0.274052,0.277228,0.276786,0.280702,0.280597,0.281609,0.276139,0.294671,0.292818,0.280105,0.286957,0.284457,0.286982,0.279461,0.277008,0.278592,0.277311,0.281481,0.278894,0.283333,5996,C.brasiliensis
0.267327,0.312757,0.32967,0.296296,0.333333,0.315789,0.298246,0.304348,0.3125,0.315789,0.330769,0.317365,0.317269,0.306122,0.305785,0.312977,0.316239,0.302857,0.307692,0.32,0.307018,0.307692,0.307339,0.335165,0.302632,0.30531,0.301775,0.313609,0.331606,0.314961,0.303226,0.300699,0.294479,0.305147,0.311927,0.31694,3816,M.rubiginosa
0.272,0.277929,0.259434,0.258197,0.281818,0.271845,0.265116,0.257778,0.272414,0.265217,0.286853,0.275748,0.284884,0.272727,0.2607,0.266187,0.277955,0.270732,0.275362,0.291411,0.283186,0.290221,0.269565,0.286738,0.283465,0.268617,0.28392,0.272206,0.287834,0.28972,0.284182,0.279279,0.272727,0.276056,0.279012,0.285246,4784,C.brasiliensis
0.306533,0.289683,0.309524,0.299465,0.299065,0.30622,0.293333,0.294372,0.296137,0.273148,0.298343,0.295455,0.27027,0.263158,0.280488,0.262136,0.267206,0.25,0.25,0.287671,0.284946,0.28125,0.270742,0.296875,0.298851,0.256158,0.27907,0.265306,0.268571,0.223529,0.282759,0.304598,0.302905,0.296875,0.274038,0.289474,3814,A.tomentosum
0.278571,0.269685,0.287671,0.276753,0.296578,0.29434,0.287129,0.277567,0.266881,0.284091,0.303887,0.293333,0.291815,0.290698,0.278746,0.256484,0.273846,0.259259,0.285714,0.282392,0.287625,0.290429,0.277635,0.303835,0.285714,0.290323,0.296429,0.305994,0.302452,0.300395,0.299694,0.282759,0.293255,0.302273,0.285714,0.30504,3832,M.rubiginosa
