@relation ephenology_all-5-fold-1-14G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {P.torta,C.brasiliensis,M.rubiginosa,P.ramiflora,M.guianensis,A.tomentosum}

@data

0.338983,0.339726,0.338521,0.334365,0.338583,0.338843,0.334483,0.346154,0.351536,0.336508,0.345638,0.345821,0.358434,0.347403,0.354015,0.367965,0.35124,0.347561,0.345588,0.337278,0.336601,0.345324,0.356467,0.353383,0.365517,0.357868,0.353591,0.343949,0.35473,0.342342,0.351792,0.351032,0.347403,0.35567,0.339367,0.348837,5284,C.brasiliensis
0.333333,0.325203,0.330233,0.327511,0.324561,0.330396,0.331858,0.318408,0.332016,0.338983,0.341232,0.345528,0.33642,0.349206,0.338028,0.318408,0.339713,0.328244,0.322581,0.322917,0.322981,0.31746,0.321555,0.317073,0.340136,0.321429,0.323171,0.321608,0.327586,0.331395,0.326733,0.327869,0.335052,0.317881,0.315534,0.326984,4446,P.torta
0.354037,0.355556,0.352632,0.345588,0.352041,0.357143,0.354067,0.361702,0.353211,0.350467,0.35,0.350427,0.350554,0.349727,0.35,0.337143,0.359788,0.356557,0.35,0.351351,0.348837,0.348958,0.354962,0.348018,0.35514,0.347403,0.350427,0.348,0.3361,0.346535,0.341912,0.340336,0.34127,0.349481,0.33557,0.338776,5014,C.brasiliensis
0.330579,0.33244,0.328829,0.326087,0.325301,0.327138,0.329317,0.329114,0.338521,0.337931,0.33871,0.334416,0.337563,0.335878,0.335821,0.337349,0.338926,0.332335,0.336601,0.339869,0.338926,0.335423,0.340153,0.335385,0.338462,0.340483,0.337176,0.339394,0.337875,0.339223,0.339426,0.339888,0.336283,0.339408,0.339572,0.340206,3558,M.rubiginosa
0.348837,0.3425,0.346591,0.337662,0.347985,0.349593,0.352,0.355731,0.35061,0.35034,0.341912,0.349544,0.348485,0.347079,0.345277,0.348214,0.340659,0.339683,0.336134,0.343891,0.346369,0.345745,0.34188,0.341463,0.348148,0.341667,0.341463,0.333333,0.332,0.355556,0.349593,0.333333,0.346154,0.345638,0.333333,0.340278,3746,P.ramiflora
0.344978,0.341463,0.336364,0.33833,0.340757,0.347222,0.347619,0.344304,0.344988,0.349367,0.345821,0.343826,0.340528,0.350133,0.349081,0.352459,0.348148,0.355932,0.341026,0.336815,0.34375,0.34492,0.357143,0.351744,0.345361,0.351351,0.347368,0.348894,0.34715,0.354354,0.343137,0.34456,0.344828,0.345815,0.34188,0.35589,5432,C.brasiliensis
0.328652,0.338216,0.347059,0.344729,0.347945,0.341317,0.333333,0.329193,0.338583,0.345821,0.347368,0.349367,0.345372,0.350575,0.354839,0.357746,0.344186,0.34466,0.358333,0.343662,0.35905,0.343662,0.343387,0.342529,0.358974,0.344828,0.351682,0.35014,0.347921,0.34349,0.343511,0.346369,0.345161,0.348519,0.32381,0.342795,3461,M.rubiginosa
0.349765,0.353488,0.356688,0.361702,0.359133,0.356083,0.349741,0.354571,0.358839,0.352246,0.35625,0.344173,0.358491,0.353125,0.345304,0.345238,0.348525,0.347732,0.347432,0.345404,0.355742,0.348285,0.346561,0.353116,0.359091,0.344743,0.341523,0.341969,0.348837,0.339683,0.338095,0.338624,0.34375,0.349537,0.344988,0.35732,4984,C.brasiliensis
0.344482,0.341346,0.341108,0.342679,0.336283,0.343374,0.336158,0.348684,0.352436,0.345013,0.346154,0.341463,0.348684,0.343249,0.34642,0.345882,0.342282,0.347475,0.344221,0.345538,0.346734,0.346247,0.350746,0.347044,0.351111,0.355963,0.351293,0.352273,0.345263,0.348525,0.351648,0.350365,0.348837,0.352622,0.349829,0.351406,5301,C.brasiliensis
0.331058,0.335079,0.32971,0.346863,0.338078,0.34629,0.338403,0.334694,0.338608,0.341463,0.340741,0.340836,0.34188,0.345455,0.351254,0.35,0.350746,0.348066,0.358491,0.348276,0.347656,0.356436,0.351351,0.349481,0.355263,0.33935,0.340426,0.342466,0.338762,0.346154,0.350962,0.348571,0.348936,0.356401,0.363636,0.339286,5074,P.torta
