@relation ephenology_all-5-fold-3-14G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {C.brasiliensis,P.ramiflora,P.torta,M.rubiginosa,M.guianensis,A.tomentosum}

@data

0.333333,0.326599,0.320611,0.330909,0.321918,0.327273,0.324859,0.318182,0.319088,0.331307,0.33574,0.320359,0.332248,0.32459,0.315217,0.317797,0.321586,0.320312,0.310559,0.30719,0.315385,0.316456,0.325397,0.326693,0.333333,0.319672,0.32971,0.308057,0.321138,0.307263,0.333333,0.328767,0.321101,0.321555,0.321285,0.321168,5546,P.torta
0.347945,0.355932,0.35,0.345029,0.350829,0.348525,0.347709,0.340237,0.339888,0.345291,0.34104,0.344988,0.348774,0.343529,0.34192,0.338501,0.339246,0.33833,0.337662,0.343434,0.335121,0.339109,0.337766,0.332317,0.331731,0.337629,0.327027,0.329787,0.332386,0.331104,0.330952,0.334204,0.327225,0.337469,0.333333,0.335121,5354,C.brasiliensis
0.351275,0.345269,0.357639,0.352542,0.347079,0.353147,0.352751,0.354386,0.353312,0.356923,0.35689,0.344828,0.350769,0.351438,0.349359,0.353147,0.344482,0.347826,0.335616,0.353147,0.349823,0.348684,0.350394,0.342373,0.344371,0.343173,0.342105,0.344444,0.34375,0.345133,0.346021,0.344444,0.345395,0.347541,0.347826,0.343434,2999,P.ramiflora
0.352381,0.349908,0.358396,0.357143,0.357527,0.355499,0.356201,0.353723,0.356164,0.358056,0.363265,0.354369,0.35958,0.356201,0.355263,0.348115,0.344988,0.350114,0.348341,0.347548,0.346237,0.348889,0.34763,0.343458,0.353774,0.350763,0.346983,0.347926,0.343115,0.345,0.347826,0.35363,0.347087,0.34873,0.344468,0.350835,3161,P.ramiflora
0.320988,0.323625,0.319328,0.312,0.316176,0.320611,0.321168,0.318182,0.327957,0.32967,0.31694,0.318408,0.327138,0.320896,0.321212,0.310976,0.314815,0.333333,0.314685,0.318519,0.309859,0.320513,0.332,0.323308,0.321429,0.32549,0.324675,0.322034,0.32,0.319444,0.316092,0.318182,0.316092,0.328671,0.31746,0.326087,6371,P.torta
0.335548,0.330357,0.339041,0.337748,0.336634,0.338926,0.34106,0.345515,0.348348,0.351744,0.35514,0.357333,0.36019,0.363905,0.364706,0.367052,0.363636,0.367788,0.36859,0.369427,0.371622,0.367213,0.363402,0.371429,0.372222,0.362162,0.367133,0.366102,0.366848,0.366906,0.375427,0.372822,0.368421,0.364672,0.366771,0.359375,2934,P.torta
0.345048,0.341772,0.332268,0.340136,0.339161,0.34507,0.339552,0.345528,0.336957,0.341317,0.330709,0.340764,0.333333,0.33758,0.34,0.335548,0.330961,0.325581,0.321918,0.322259,0.325,0.323718,0.330033,0.326165,0.33557,0.323232,0.326271,0.319853,0.314516,0.321267,0.325658,0.315217,0.323529,0.321875,0.313916,0.320558,5663,C.brasiliensis
0.353503,0.36253,0.355191,0.354651,0.353591,0.353933,0.362069,0.357447,0.360465,0.356618,0.353612,0.359551,0.359649,0.350515,0.363636,0.362694,0.354545,0.355872,0.357513,0.360825,0.351351,0.349754,0.356287,0.354839,0.361842,0.35514,0.345972,0.344398,0.355263,0.354497,0.348485,0.349794,0.350181,0.360231,0.351064,0.356707,4370,M.rubiginosa
0.358025,0.347594,0.346863,0.35206,0.348993,0.349835,0.354515,0.355401,0.35473,0.35443,0.362319,0.352025,0.361635,0.356401,0.350877,0.350515,0.351792,0.350975,0.35274,0.352941,0.349481,0.347826,0.353147,0.344371,0.346405,0.349835,0.342373,0.34,0.342857,0.343511,0.343849,0.348123,0.348101,0.345455,0.344353,0.341463,2998,P.ramiflora
0.362573,0.355556,0.363905,0.358491,0.371257,0.364162,0.368146,0.365979,0.365385,0.368421,0.366337,0.360775,0.365741,0.369942,0.361644,0.364821,0.356546,0.354916,0.356742,0.353107,0.355114,0.358491,0.360976,0.356234,0.365079,0.345238,0.35625,0.360795,0.361502,0.366906,0.356265,0.354922,0.353579,0.357815,0.354839,0.360845,4241,M.rubiginosa
0.328025,0.322727,0.33101,0.319298,0.329861,0.33452,0.325175,0.323529,0.326154,0.331395,0.323171,0.323204,0.33414,0.335505,0.327161,0.322188,0.322188,0.328467,0.321311,0.324675,0.323432,0.331148,0.328283,0.331707,0.344037,0.326241,0.323988,0.334328,0.338824,0.333333,0.34072,0.340237,0.351744,0.341667,0.344444,0.339535,3238,P.torta
0.349246,0.360269,0.348315,0.34434,0.331754,0.334232,0.331551,0.345679,0.350267,0.343832,0.355882,0.342169,0.355932,0.342233,0.339196,0.352357,0.338272,0.34264,0.336427,0.340659,0.345,0.342784,0.34,0.349754,0.355263,0.335443,0.340771,0.335802,0.324786,0.344615,0.329815,0.330729,0.328841,0.33195,0.327103,0.333333,7335,M.rubiginosa
0.33758,0.353712,0.34898,0.343891,0.343964,0.342404,0.345133,0.341121,0.355263,0.344554,0.343915,0.339785,0.344828,0.344498,0.339759,0.350962,0.341463,0.347222,0.342529,0.334873,0.344498,0.340807,0.345088,0.334239,0.347222,0.356659,0.347345,0.342233,0.346056,0.363636,0.342324,0.34186,0.339623,0.341518,0.343035,0.335802,5251,C.brasiliensis
