@relation ephenology_all-5-fold-4-14G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {M.rubiginosa,P.torta,A.tomentosum,C.brasiliensis,M.guianensis,P.ramiflora}

@data

0.343949,0.331445,0.350725,0.338192,0.337243,0.347432,0.339394,0.353135,0.341538,0.337931,0.343284,0.334459,0.339339,0.329268,0.347656,0.352941,0.333333,0.342105,0.329317,0.358268,0.350168,0.356164,0.351351,0.343284,0.35461,0.348921,0.359833,0.357692,0.343284,0.354067,0.346847,0.352174,0.354839,0.34657,0.353383,0.330855,4291,P.torta
0.33557,0.3258,0.34058,0.337121,0.334507,0.335714,0.341379,0.347368,0.349845,0.337209,0.340909,0.342318,0.3375,0.354167,0.354839,0.350575,0.347107,0.348958,0.349254,0.345794,0.350993,0.346875,0.34153,0.335859,0.336449,0.346995,0.353535,0.346749,0.335821,0.353503,0.349544,0.342857,0.347692,0.342105,0.335079,0.342569,821,M.rubiginosa
0.33213,0.328494,0.340491,0.337209,0.339394,0.34472,0.34472,0.339623,0.34188,0.343137,0.343042,0.341108,0.337596,0.339683,0.341538,0.338462,0.340845,0.35012,0.350453,0.34891,0.351613,0.350453,0.346883,0.336957,0.336406,0.34349,0.346801,0.343849,0.336022,0.344371,0.353125,0.353952,0.342949,0.347826,0.350649,0.344,2796,P.torta
0.349823,0.341513,0.347079,0.344595,0.350168,0.356643,0.356164,0.361702,0.358255,0.356667,0.357616,0.349693,0.341709,0.35786,0.357616,0.354232,0.354396,0.357995,0.359756,0.366242,0.366242,0.361905,0.354331,0.351706,0.35122,0.353887,0.355705,0.357143,0.345679,0.359477,0.356923,0.360129,0.350318,0.347395,0.358306,0.342926,1805,A.tomentosum
0.34386,0.348442,0.331658,0.341346,0.339921,0.344569,0.353312,0.346863,0.357664,0.346154,0.35274,0.334375,0.358442,0.347518,0.360335,0.34874,0.346774,0.351931,0.35396,0.346253,0.347368,0.354667,0.349741,0.332326,0.342995,0.342105,0.345455,0.335025,0.326797,0.346939,0.335079,0.335526,0.340081,0.34188,0.334821,0.339506,3617,A.tomentosum
0.343558,0.345845,0.341935,0.344156,0.345395,0.343234,0.342949,0.346939,0.347692,0.346269,0.341853,0.34188,0.340659,0.337461,0.343374,0.3391,0.344023,0.341584,0.339286,0.342105,0.340299,0.336207,0.340483,0.341693,0.342541,0.337696,0.336232,0.337243,0.340237,0.3367,0.34349,0.340176,0.341737,0.338272,0.344221,0.338889,5996,C.brasiliensis
0.356436,0.316872,0.307692,0.324074,0.313131,0.324561,0.333333,0.326087,0.328125,0.322368,0.330769,0.329341,0.313253,0.326531,0.330579,0.328244,0.324786,0.325714,0.307692,0.328,0.307018,0.307692,0.321101,0.32967,0.355263,0.323009,0.325444,0.319527,0.321244,0.322835,0.322581,0.321678,0.331288,0.334559,0.330275,0.327869,3816,M.rubiginosa
0.34,0.346049,0.353774,0.352459,0.340909,0.339806,0.344186,0.351111,0.351724,0.347826,0.346614,0.348837,0.343023,0.339921,0.346303,0.352518,0.348243,0.35122,0.347826,0.340491,0.345133,0.340694,0.350725,0.34767,0.354331,0.351064,0.339196,0.34957,0.344214,0.339564,0.343164,0.342342,0.3367,0.343662,0.34321,0.347541,4784,C.brasiliensis
0.336683,0.337302,0.327381,0.331551,0.345794,0.339713,0.337778,0.333333,0.339056,0.351852,0.342541,0.336364,0.351351,0.345029,0.341463,0.349515,0.352227,0.354839,0.361111,0.333333,0.33871,0.3375,0.340611,0.34375,0.356322,0.35468,0.325581,0.360544,0.36,0.376471,0.351724,0.33908,0.344398,0.348214,0.360577,0.353801,3814,A.tomentosum
0.353571,0.366142,0.342466,0.346863,0.334601,0.335849,0.349835,0.346008,0.369775,0.333333,0.335689,0.333333,0.338078,0.341085,0.341463,0.357349,0.347692,0.359788,0.335714,0.348837,0.337793,0.343234,0.354756,0.345133,0.362637,0.354839,0.339286,0.334385,0.340599,0.335968,0.33945,0.348276,0.343109,0.340909,0.348571,0.339523,3832,M.rubiginosa
0.321101,0.313889,0.309623,0.314488,0.305755,0.307958,0.313333,0.311644,0.330189,0.334232,0.33526,0.342593,0.347826,0.344262,0.345455,0.349254,0.355392,0.357314,0.349673,0.357746,0.361011,0.355014,0.371728,0.353448,0.370558,0.358744,0.356137,0.355392,0.362117,0.355828,0.358974,0.362319,0.363881,0.356955,0.352342,0.359882,5002,C.brasiliensis
0.327381,0.335196,0.334405,0.33162,0.332402,0.332344,0.336364,0.332237,0.340491,0.338983,0.350211,0.35473,0.371069,0.374517,0.362989,0.357357,0.367521,0.363431,0.372093,0.372937,0.369004,0.353698,0.373563,0.366667,0.360947,0.348649,0.351449,0.353952,0.353261,0.348315,0.350168,0.356589,0.352113,0.348168,0.352071,0.354749,4400,P.torta
0.336585,0.342679,0.332016,0.334783,0.328889,0.331878,0.337719,0.3379,0.33913,0.341365,0.339623,0.330827,0.338346,0.323404,0.32766,0.328283,0.326271,0.332046,0.333333,0.336585,0.340541,0.335025,0.339695,0.333333,0.343434,0.334646,0.331081,0.339394,0.340708,0.330709,0.337349,0.333333,0.336735,0.335664,0.337778,0.344,4997,C.brasiliensis
0.343249,0.355615,0.339785,0.342612,0.340659,0.339093,0.341991,0.338902,0.344418,0.344749,0.343085,0.33691,0.350769,0.341629,0.338308,0.338863,0.334123,0.344898,0.334792,0.334029,0.333333,0.338205,0.344051,0.339744,0.348571,0.340541,0.335366,0.33543,0.338558,0.335938,0.336735,0.33547,0.331849,0.337176,0.333945,0.338369,7334,M.rubiginosa
0.343511,0.340426,0.342105,0.332335,0.340081,0.337349,0.36,0.34728,0.339713,0.349265,0.340909,0.346154,0.340909,0.342657,0.340164,0.333333,0.33677,0.338583,0.345,0.340807,0.342105,0.341969,0.342391,0.335329,0.347826,0.334821,0.334746,0.34466,0.350282,0.333333,0.329114,0.337748,0.339535,0.344828,0.32967,0.348066,5637,P.torta
0.34629,0.340426,0.353741,0.348123,0.347682,0.350993,0.352751,0.361775,0.363095,0.36036,0.357616,0.369318,0.361111,0.368421,0.360856,0.365625,0.369906,0.358839,0.365385,0.361775,0.363636,0.355172,0.35905,0.351275,0.355556,0.356932,0.343629,0.350181,0.350923,0.350806,0.354717,0.351351,0.34965,0.351429,0.349442,0.350543,1280,C.brasiliensis
0.325758,0.328125,0.322709,0.327645,0.327586,0.330961,0.337838,0.337979,0.341853,0.343643,0.347328,0.338762,0.351275,0.367857,0.372414,0.373134,0.371429,0.367265,0.377215,0.38874,0.391304,0.37859,0.378897,0.378446,0.373874,0.369892,0.379845,0.378238,0.365639,0.372603,0.374707,0.378713,0.360563,0.362069,0.36385,0.35514,4423,P.torta
0.342566,0.335092,0.307836,0.311304,0.33437,0.310764,0.321131,0.330721,0.341128,0.340813,0.336424,0.340054,0.340483,0.338392,0.342318,0.344173,0.340483,0.319149,0.347645,0.323151,0.315436,0.323102,0.345578,0.335535,0.334776,0.330289,0.312925,0.346154,0.335968,0.34573,0.330218,0.347518,0.341598,0.335535,0.312081,0.335092,1806,M.rubiginosa
0.338521,0.334158,0.338403,0.329787,0.33829,0.33829,0.336806,0.341727,0.340694,0.340836,0.346154,0.348765,0.343243,0.35274,0.347682,0.351254,0.352584,0.350835,0.347305,0.347953,0.353474,0.355685,0.349462,0.344388,0.365979,0.350685,0.367003,0.365385,0.350877,0.359862,0.363363,0.360129,0.369822,0.362667,0.358434,0.354115,1326,C.brasiliensis
0.333333,0.327711,0.339623,0.33564,0.328814,0.337838,0.342193,0.346667,0.347826,0.355102,0.357143,0.350482,0.34555,0.35316,0.363296,0.363924,0.360856,0.356265,0.365772,0.35906,0.36014,0.356115,0.3531,0.352941,0.348066,0.352357,0.357143,0.357827,0.35533,0.351351,0.362573,0.357576,0.358779,0.349741,0.360856,0.348285,4548,P.torta
0.334532,0.332618,0.326693,0.327206,0.325088,0.326165,0.326007,0.328244,0.328025,0.328025,0.33101,0.32853,0.33494,0.331081,0.335423,0.337884,0.333333,0.332512,0.328622,0.338182,0.337121,0.342007,0.343511,0.340782,0.345178,0.346667,0.350211,0.349593,0.346995,0.356098,0.355102,0.367647,0.371795,0.357746,0.360996,0.35503,2432,A.tomentosum
0.339695,0.330595,0.338521,0.339768,0.334601,0.337209,0.335878,0.338583,0.337884,0.341727,0.338182,0.3367,0.337176,0.339695,0.33935,0.339483,0.337621,0.338798,0.342756,0.344203,0.340741,0.342756,0.340058,0.333333,0.338624,0.338028,0.337931,0.33871,0.332454,0.343643,0.342767,0.348993,0.344948,0.343832,0.350168,0.348404,2438,P.torta
0.349127,0.368534,0.359649,0.345679,0.350711,0.365979,0.367965,0.369863,0.357798,0.353659,0.366548,0.336879,0.352584,0.347594,0.365854,0.352657,0.377246,0.355311,0.348485,0.354167,0.345622,0.347826,0.347701,0.349711,0.348548,0.355114,0.357143,0.34106,0.357143,0.346591,0.347044,0.349727,0.352,0.343318,0.353659,0.340659,5381,C.brasiliensis
0.348718,0.361502,0.373832,0.352601,0.365672,0.354938,0.354988,0.352185,0.359606,0.355844,0.359517,0.360544,0.360313,0.35468,0.363208,0.354839,0.355263,0.359756,0.362776,0.352239,0.35,0.34507,0.361905,0.343849,0.345178,0.344444,0.334459,0.344948,0.333333,0.333333,0.328125,0.328814,0.328125,0.333333,0.334437,0.329502,3674,M.rubiginosa
0.344828,0.367816,0.349138,0.344538,0.340611,0.352657,0.342593,0.348718,0.351485,0.351485,0.356725,0.35023,0.34632,0.342391,0.348066,0.345455,0.339286,0.354067,0.344371,0.348684,0.340909,0.344595,0.356522,0.346734,0.365854,0.343629,0.350746,0.352201,0.344498,0.342105,0.345455,0.351351,0.341463,0.357977,0.347826,0.366972,4916,C.brasiliensis
0.33125,0.325183,0.345196,0.344322,0.344948,0.342657,0.344482,0.351254,0.341538,0.345395,0.35514,0.357143,0.368159,0.358108,0.350482,0.36039,0.354305,0.350685,0.351852,0.367188,0.362934,0.367816,0.360335,0.339726,0.356021,0.361582,0.362934,0.366782,0.355438,0.354086,0.349091,0.363296,0.350195,0.354749,0.347518,0.358333,1170,C.brasiliensis
0.34413,0.342508,0.337278,0.341772,0.342391,0.335079,0.334975,0.345178,0.342975,0.342105,0.338164,0.340164,0.346535,0.340426,0.336493,0.340541,0.340807,0.341912,0.331522,0.334951,0.340206,0.343891,0.347267,0.34252,0.348485,0.340836,0.336207,0.340249,0.344444,0.343434,0.333333,0.334646,0.340996,0.342424,0.339552,0.347368,4575,C.brasiliensis
0.350554,0.336474,0.363934,0.362179,0.353659,0.350649,0.353698,0.356436,0.34349,0.334356,0.334286,0.340782,0.339066,0.342342,0.339779,0.340599,0.326733,0.339286,0.353801,0.359375,0.359223,0.360656,0.346561,0.335821,0.357664,0.352201,0.363309,0.346505,0.331019,0.338762,0.331915,0.348684,0.342593,0.336735,0.345361,0.334917,1333,A.tomentosum
0.346278,0.357143,0.350168,0.350877,0.348837,0.349835,0.352201,0.353741,0.352159,0.353474,0.350746,0.346626,0.353312,0.352159,0.356667,0.352727,0.347518,0.347305,0.346154,0.345588,0.346154,0.348148,0.354305,0.345455,0.353741,0.347962,0.344,0.345865,0.343643,0.350711,0.347826,0.350598,0.346154,0.346154,0.351351,0.349673,4099,M.rubiginosa
0.327354,0.325581,0.334755,0.336343,0.329466,0.333333,0.335681,0.336815,0.335,0.333333,0.331507,0.337004,0.337931,0.334056,0.334118,0.333333,0.339326,0.324385,0.330357,0.324948,0.332623,0.32438,0.332046,0.327138,0.327014,0.333333,0.326531,0.319196,0.323944,0.330688,0.326446,0.330416,0.324263,0.326531,0.321306,0.330986,7281,M.rubiginosa
0.359322,0.348259,0.344948,0.346715,0.349315,0.346939,0.351351,0.356115,0.351171,0.362712,0.362934,0.352941,0.352273,0.347518,0.34965,0.350195,0.346875,0.349367,0.347079,0.347973,0.345196,0.340984,0.346479,0.337176,0.348958,0.340782,0.337255,0.343042,0.342697,0.344,0.343849,0.34629,0.348534,0.335821,0.339833,0.333333,4467,M.guianensis
0.3361,0.334286,0.333333,0.341085,0.342308,0.334615,0.333333,0.338776,0.345324,0.33574,0.337349,0.341463,0.338462,0.340824,0.347015,0.348,0.347826,0.349206,0.353846,0.349624,0.350598,0.348,0.346667,0.34471,0.358209,0.342105,0.353909,0.35206,0.337662,0.350211,0.345196,0.342308,0.348361,0.338658,0.344961,0.33119,1477,C.brasiliensis
0.334311,0.337979,0.329231,0.311728,0.314869,0.322857,0.323944,0.333333,0.311897,0.335294,0.327273,0.316568,0.34058,0.313305,0.327511,0.330472,0.298851,0.332031,0.321782,0.329932,0.320423,0.330189,0.323077,0.32243,0.369565,0.315018,0.318021,0.324138,0.328829,0.302326,0.310345,0.305556,0.303419,0.320144,0.315457,0.330357,6378,C.brasiliensis
0.341991,0.349593,0.34139,0.348958,0.343575,0.342939,0.342342,0.355828,0.348168,0.344262,0.346429,0.339181,0.364865,0.343849,0.358025,0.344595,0.349693,0.343085,0.344633,0.347594,0.339031,0.345345,0.350168,0.347328,0.358974,0.348837,0.34767,0.346429,0.351145,0.35514,0.360902,0.368852,0.36036,0.363636,0.361217,0.364055,4051,M.rubiginosa
0.351097,0.349241,0.355491,0.35942,0.358601,0.358601,0.356725,0.357576,0.358166,0.350725,0.356902,0.353261,0.358974,0.354839,0.35277,0.351351,0.358601,0.355231,0.353801,0.356932,0.356495,0.353623,0.356707,0.350148,0.355191,0.351906,0.350453,0.346154,0.352436,0.351351,0.351955,0.356932,0.349711,0.351499,0.354922,0.348774,2915,P.ramiflora
0.31746,0.316667,0.315152,0.318182,0.327044,0.322368,0.323529,0.321168,0.315152,0.316547,0.328358,0.318182,0.324873,0.306569,0.321678,0.310345,0.324022,0.325581,0.316384,0.306452,0.325714,0.329545,0.331522,0.312821,0.35443,0.317308,0.319277,0.315508,0.304762,0.323944,0.317708,0.304094,0.312139,0.320175,0.305556,0.307692,6235,P.torta
0.349206,0.357995,0.352273,0.356287,0.353448,0.354651,0.354286,0.352941,0.348442,0.352941,0.349481,0.352941,0.353448,0.351744,0.353474,0.352071,0.348837,0.340633,0.349112,0.340058,0.347701,0.347339,0.352941,0.344371,0.345455,0.349462,0.342508,0.342105,0.345161,0.34629,0.342618,0.343195,0.34072,0.346049,0.345269,0.349112,4135,M.rubiginosa
0.310734,0.321429,0.322449,0.323887,0.317829,0.322581,0.324111,0.33913,0.324427,0.331731,0.323232,0.328889,0.315972,0.317708,0.316583,0.308824,0.320675,0.327138,0.318841,0.317536,0.315789,0.321608,0.32967,0.320158,0.37,0.33574,0.338164,0.339207,0.333333,0.349282,0.347107,0.341121,0.345291,0.34375,0.347826,0.348315,1289,C.brasiliensis
0.325671,0.330769,0.334728,0.333333,0.333333,0.334746,0.334746,0.342466,0.335878,0.343511,0.335968,0.33564,0.339181,0.345865,0.342412,0.352273,0.340909,0.345048,0.341463,0.342975,0.348018,0.349398,0.340206,0.340426,0.358621,0.340206,0.350877,0.35102,0.345277,0.352381,0.352941,0.356481,0.359684,0.34589,0.350806,0.341772,1418,C.brasiliensis
