@relation ephenology_all-5-fold-5-14G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {C.brasiliensis,M.rubiginosa,P.torta,A.tomentosum,P.ramiflora,M.guianensis}

@data

0.345238,0.335484,0.340336,0.340336,0.338912,0.340249,0.340081,0.344398,0.336957,0.342857,0.341637,0.336601,0.333333,0.33829,0.336842,0.336918,0.328767,0.33432,0.337079,0.343629,0.339844,0.33829,0.338323,0.334365,0.338798,0.338235,0.339483,0.340206,0.333333,0.344322,0.344482,0.348921,0.344482,0.342784,0.347541,0.341954,2513,P.torta
0.33657,0.325,0.338521,0.345098,0.333333,0.339223,0.344322,0.334532,0.337838,0.339744,0.330935,0.33642,0.331269,0.346032,0.334375,0.341549,0.3391,0.334337,0.32872,0.335593,0.335766,0.33564,0.330097,0.32899,0.36,0.318182,0.316364,0.328859,0.321656,0.329502,0.334416,0.331081,0.328814,0.325153,0.335849,0.330097,1417,C.brasiliensis
0.347059,0.339744,0.350575,0.352941,0.350148,0.343195,0.349057,0.345679,0.353659,0.351124,0.353846,0.351111,0.351598,0.347732,0.352041,0.35049,0.352601,0.349633,0.357143,0.345029,0.359375,0.357357,0.347305,0.352201,0.362245,0.352601,0.358491,0.35786,0.352239,0.362934,0.383966,0.377593,0.367893,0.354749,0.360947,0.359116,1792,M.rubiginosa
0.357357,0.349785,0.35249,0.34767,0.354167,0.357692,0.357388,0.356322,0.353535,0.353135,0.352174,0.358108,0.357639,0.349593,0.352697,0.357724,0.34981,0.349057,0.355469,0.349481,0.351779,0.354244,0.350148,0.34589,0.349693,0.347258,0.347518,0.348837,0.349398,0.346774,0.342424,0.351171,0.349544,0.351421,0.350932,0.348703,4463,C.brasiliensis
0.321244,0.323671,0.326923,0.320261,0.322785,0.327161,0.325444,0.341935,0.329545,0.329787,0.329114,0.320197,0.331633,0.320988,0.325,0.320261,0.333333,0.320574,0.318182,0.314465,0.319444,0.318182,0.32,0.319149,0.347826,0.320652,0.316547,0.329114,0.308511,0.33871,0.327381,0.329193,0.319018,0.325581,0.320856,0.313514,6291,P.torta
0.343612,0.335878,0.34322,0.34322,0.342629,0.35102,0.351562,0.365079,0.358156,0.351852,0.352727,0.362712,0.358289,0.367816,0.361314,0.356877,0.358423,0.357955,0.354839,0.353909,0.35,0.357143,0.356522,0.350427,0.36,0.353982,0.353535,0.355372,0.345646,0.354067,0.354839,0.35514,0.351464,0.346939,0.347639,0.346154,1160,C.brasiliensis
0.364458,0.376068,0.364532,0.364384,0.365535,0.36911,0.367089,0.371274,0.357843,0.364458,0.367893,0.364322,0.37027,0.364742,0.368571,0.353801,0.369393,0.361174,0.369863,0.367188,0.36631,0.363171,0.365617,0.353116,0.355769,0.352381,0.354839,0.34596,0.356941,0.350769,0.345882,0.348039,0.350923,0.351621,0.349882,0.348703,4540,C.brasiliensis
0.332046,0.327068,0.321267,0.319444,0.325792,0.331797,0.327103,0.327957,0.339806,0.336538,0.320856,0.324786,0.329749,0.326203,0.336585,0.340102,0.336364,0.335616,0.3375,0.330144,0.327273,0.335165,0.33463,0.328638,0.339806,0.328467,0.338384,0.326772,0.330645,0.323699,0.32906,0.330189,0.331897,0.333333,0.328358,0.333333,5339,C.brasiliensis
0.356401,0.361472,0.353623,0.35503,0.355114,0.34957,0.358209,0.359375,0.36036,0.366864,0.354545,0.35101,0.350962,0.347953,0.347578,0.348624,0.361272,0.351039,0.348214,0.35474,0.34891,0.348837,0.349367,0.349162,0.350962,0.348131,0.355882,0.348703,0.343832,0.349315,0.348168,0.347339,0.345845,0.347032,0.341709,0.344828,3841,M.rubiginosa
