@relation ephenology_all-5-fold-2-15B.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {M.rubiginosa,P.ramiflora,M.guianensis,C.brasiliensis,P.torta,A.tomentosum}

@data

0.327526,0.340045,0.318493,0.322368,0.312883,0.31677,0.320261,0.328446,0.311321,0.334586,0.316883,0.317016,0.311364,0.315927,0.319899,0.321212,0.303665,0.291892,0.300752,0.311346,0.293447,0.315403,0.321951,0.307471,0.311526,0.321696,0.320122,0.293706,0.321937,0.30625,0.3008,0.324159,0.343407,0.326877,0.333333,0.328358,2814,P.torta
0.285714,0.287105,0.308,0.299674,0.310078,0.301527,0.30038,0.293919,0.295238,0.277612,0.266219,0.285106,0.2875,0.286145,0.277778,0.285714,0.278646,0.289694,0.284866,0.300275,0.283237,0.293399,0.286747,0.282609,0.288184,0.292208,0.290801,0.280757,0.294286,0.290698,0.293388,0.285714,0.301724,0.292162,0.305851,0.298246,3601,M.rubiginosa
0.326389,0.326371,0.357466,0.347418,0.360577,0.354067,0.353488,0.352423,0.35124,0.323651,0.331361,0.339506,0.341463,0.343096,0.333333,0.333333,0.344186,0.340517,0.342995,0.354369,0.35122,0.340909,0.34949,0.318182,0.314394,0.34593,0.342995,0.319048,0.330317,0.327103,0.334963,0.319048,0.337979,0.33711,0.347682,0.337748,3178,P.ramiflora
0.287234,0.279365,0.300353,0.292359,0.289062,0.307393,0.295203,0.293233,0.288321,0.3,0.273684,0.294872,0.309764,0.302905,0.288973,0.284746,0.304965,0.293651,0.28777,0.298413,0.309148,0.309148,0.292818,0.284281,0.275676,0.291139,0.295302,0.284768,0.272436,0.276094,0.281395,0.271062,0.27957,0.279126,0.292419,0.292398,4430,M.guianensis
0.299094,0.272727,0.302239,0.304878,0.304348,0.298039,0.291188,0.291971,0.291971,0.29434,0.289474,0.289634,0.287129,0.304511,0.297578,0.285714,0.276859,0.29148,0.303571,0.293333,0.298701,0.295359,0.29572,0.284047,0.293769,0.283489,0.293233,0.287234,0.285714,0.284848,0.286022,0.287066,0.296188,0.29235,0.281346,0.285714,4558,C.brasiliensis
0.480519,0.438172,0.48538,0.464481,0.467456,0.503401,0.507692,0.503106,0.458101,0.49635,0.456221,0.421405,0.464567,0.547009,0.472603,0.491803,0.461078,0.456731,0.474684,0.484472,0.475,0.461988,0.444988,0.449541,0.4375,0.422857,0.457317,0.439791,0.425743,0.436214,0.395095,0.430851,0.414634,0.42033,0.468635,0.467681,6476,P.torta
0.312796,0.285199,0.317597,0.302439,0.336,0.321569,0.322464,0.320611,0.321168,0.32,0.308682,0.317164,0.316794,0.333333,0.320755,0.318777,0.320158,0.313364,0.318182,0.330275,0.330189,0.316038,0.317726,0.316832,0.313901,0.309609,0.32948,0.31401,0.318584,0.315556,0.32,0.322115,0.320158,0.316176,0.343891,0.324528,3545,M.rubiginosa
0.270386,0.2625,0.289683,0.272727,0.274194,0.284444,0.271429,0.259091,0.26556,0.248649,0.269784,0.268456,0.268041,0.275362,0.264317,0.27459,0.280899,0.282609,0.277778,0.281481,0.283186,0.283217,0.282799,0.276265,0.271318,0.280236,0.269565,0.269565,0.279352,0.280632,0.276657,0.266968,0.282443,0.283077,0.284585,0.279461,4767,C.brasiliensis
0.235088,0.269316,0.250896,0.261538,0.261006,0.261324,0.237762,0.239726,0.258065,0.248175,0.249292,0.260546,0.256345,0.256705,0.245033,0.289773,0.244361,0.277778,0.246696,0.257642,0.247706,0.25,0.273364,0.252747,0.265193,0.275184,0.257732,0.243243,0.259124,0.269076,0.266968,0.259259,0.279762,0.273399,0.270186,0.264916,5097,C.brasiliensis
