@relation ephenology_all-5-fold-2-15G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {M.rubiginosa,P.ramiflora,M.guianensis,C.brasiliensis,P.torta,A.tomentosum}

@data

0.348432,0.33557,0.35274,0.351974,0.355828,0.354037,0.352941,0.343109,0.358491,0.342105,0.348052,0.358974,0.361364,0.362924,0.355164,0.351515,0.363874,0.372973,0.365915,0.364116,0.373219,0.359413,0.34878,0.362069,0.364486,0.359102,0.356707,0.374126,0.356125,0.36875,0.3552,0.360856,0.340659,0.353511,0.355072,0.353234,2814,P.torta
0.347985,0.347932,0.332,0.34202,0.341085,0.343511,0.346008,0.337838,0.333333,0.340299,0.355705,0.346809,0.347917,0.346386,0.342995,0.343915,0.34375,0.345404,0.341246,0.338843,0.343931,0.344743,0.344578,0.345109,0.345821,0.344156,0.344214,0.343849,0.342857,0.343023,0.345041,0.343537,0.336207,0.346793,0.340426,0.33584,3601,M.rubiginosa
0.336806,0.331593,0.316742,0.323944,0.326923,0.320574,0.32093,0.321586,0.322314,0.340249,0.328402,0.330247,0.327526,0.32636,0.333333,0.333333,0.325581,0.327586,0.328502,0.320388,0.321951,0.327273,0.318878,0.340909,0.340909,0.325581,0.328502,0.342857,0.334842,0.336449,0.327628,0.342857,0.33101,0.331445,0.331126,0.331126,3178,P.ramiflora
0.343972,0.349206,0.335689,0.33887,0.339844,0.33463,0.328413,0.338346,0.332117,0.327586,0.344737,0.339744,0.329966,0.327801,0.334601,0.338983,0.326241,0.337302,0.334532,0.330159,0.324921,0.328076,0.337017,0.334448,0.335135,0.336709,0.342282,0.331126,0.336538,0.340067,0.332558,0.340659,0.33871,0.34466,0.34296,0.333333,4430,M.guianensis
0.34139,0.341693,0.343284,0.337398,0.332016,0.333333,0.340996,0.332117,0.332117,0.335849,0.339181,0.341463,0.343234,0.330827,0.32872,0.333333,0.342975,0.340807,0.330357,0.328889,0.333333,0.333333,0.33463,0.342412,0.332344,0.34891,0.334586,0.333333,0.342857,0.342424,0.341935,0.340694,0.343109,0.338798,0.351682,0.352041,4558,C.brasiliensis
0.311688,0.322581,0.292398,0.300546,0.289941,0.306122,0.3,0.291925,0.318436,0.291971,0.313364,0.314381,0.307087,0.290598,0.308219,0.295082,0.317365,0.322115,0.316456,0.310559,0.29375,0.304094,0.303178,0.311927,0.3125,0.311429,0.310976,0.314136,0.326733,0.320988,0.307902,0.308511,0.310976,0.31044,0.295203,0.311787,6476,P.torta
0.336493,0.34657,0.347639,0.341463,0.332,0.341176,0.34058,0.332061,0.332117,0.332,0.334405,0.335821,0.335878,0.333333,0.332075,0.331878,0.332016,0.336406,0.331818,0.325688,0.325472,0.334906,0.327759,0.331683,0.336323,0.330961,0.323699,0.323671,0.331858,0.324444,0.325714,0.317308,0.332016,0.327206,0.316742,0.320755,3545,M.rubiginosa
0.351931,0.3625,0.345238,0.354978,0.354839,0.346667,0.352381,0.359091,0.356846,0.362162,0.359712,0.35906,0.357388,0.347826,0.356828,0.352459,0.348315,0.347826,0.344444,0.348148,0.345133,0.34965,0.346939,0.350195,0.352713,0.353982,0.352174,0.356522,0.348178,0.347826,0.351585,0.352941,0.347328,0.341538,0.351779,0.350168,4767,C.brasiliensis
0.378947,0.353201,0.369176,0.361538,0.36478,0.362369,0.377622,0.376712,0.365591,0.368613,0.365439,0.367246,0.365482,0.363985,0.370861,0.335227,0.368421,0.351852,0.365639,0.358079,0.357798,0.3625,0.350467,0.3663,0.350829,0.353808,0.35567,0.36036,0.354015,0.341365,0.350679,0.359259,0.35119,0.342365,0.357143,0.350835,5097,C.brasiliensis
0.335878,0.331754,0.315789,0.327586,0.327536,0.332317,0.332155,0.333333,0.329377,0.309702,0.329412,0.327922,0.329193,0.332143,0.330033,0.336245,0.332258,0.340909,0.329365,0.328467,0.331915,0.332075,0.338164,0.360465,0.352941,0.355882,0.344186,0.355649,0.352941,0.35023,0.351282,0.353234,0.351792,0.354223,0.348754,0.347518,5595,P.torta
0.348659,0.344538,0.344444,0.355769,0.35,0.349823,0.353952,0.342466,0.348123,0.348837,0.344828,0.353623,0.346041,0.345238,0.34981,0.342857,0.340206,0.345763,0.339286,0.352518,0.352,0.352313,0.345088,0.345725,0.351449,0.353383,0.34749,0.347015,0.347985,0.347518,0.345088,0.342308,0.345515,0.338798,0.345161,0.341954,4414,C.brasiliensis
0.344186,0.350877,0.35122,0.347458,0.35426,0.345833,0.337398,0.349442,0.350168,0.345528,0.342618,0.355301,0.350725,0.344569,0.340824,0.353612,0.35,0.355311,0.348178,0.347826,0.343396,0.348315,0.346633,0.354717,0.355634,0.351499,0.338078,0.339695,0.344569,0.339286,0.348315,0.340336,0.348837,0.341737,0.339286,0.346479,4880,C.brasiliensis
0.343558,0.335674,0.340299,0.342466,0.335135,0.356941,0.34153,0.350962,0.341646,0.329341,0.311295,0.343685,0.338496,0.351648,0.353511,0.35867,0.360775,0.352273,0.350242,0.365729,0.364103,0.365854,0.353712,0.366584,0.349206,0.348936,0.347368,0.341981,0.350711,0.341981,0.335085,0.362903,0.341991,0.341304,0.350109,0.365132,3460,M.rubiginosa
