@relation ephenology_all-5-fold-1-15R.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {P.torta,C.brasiliensis,M.rubiginosa,P.ramiflora,M.guianensis,A.tomentosum}

@data

0.370629,0.381089,0.368613,0.385113,0.375,0.373077,0.378182,0.376238,0.374126,0.37931,0.377358,0.367089,0.375358,0.372951,0.387597,0.372093,0.382456,0.376866,0.390511,0.371841,0.391129,0.385455,0.358255,0.372093,0.365957,0.366242,0.351499,0.360294,0.349359,0.346633,0.370757,0.35906,0.347561,0.349862,0.344411,0.363905,5284,C.brasiliensis
0.330508,0.346939,0.328767,0.32636,0.322034,0.315353,0.329167,0.341667,0.329412,0.341991,0.345161,0.327217,0.323625,0.312821,0.331858,0.3375,0.327014,0.333333,0.324742,0.31746,0.325967,0.323383,0.333333,0.334884,0.332031,0.331378,0.33526,0.335106,0.321429,0.325243,0.342246,0.33871,0.329749,0.327635,0.320611,0.332061,4446,P.torta
0.365169,0.377551,0.359477,0.371681,0.360544,0.358621,0.367742,0.357143,0.357955,0.377246,0.374502,0.369004,0.368421,0.361702,0.378531,0.380952,0.387755,0.372781,0.365854,0.379845,0.378788,0.371795,0.37884,0.381503,0.375,0.37457,0.363636,0.380368,0.372973,0.375691,0.371747,0.385135,0.366255,0.373665,0.362319,0.37395,5014,C.brasiliensis
0.347826,0.360795,0.353261,0.395349,0.35533,0.355,0.36087,0.367521,0.358974,0.362319,0.360825,0.361538,0.35248,0.361624,0.370229,0.363636,0.370787,0.364706,0.354839,0.367925,0.356164,0.357692,0.354922,0.37037,0.361022,0.35867,0.371308,0.361538,0.358804,0.361775,0.360087,0.366906,0.35376,0.356164,0.355978,0.360313,3558,M.rubiginosa
0.338403,0.350649,0.340541,0.342697,0.338308,0.339286,0.342105,0.34375,0.345946,0.353712,0.349254,0.342767,0.349359,0.337963,0.348178,0.342657,0.35122,0.343612,0.337963,0.339367,0.346715,0.337209,0.357798,0.340102,0.352941,0.353383,0.333333,0.333333,0.333333,0.333333,0.34657,0.333333,0.33677,0.35873,0.333333,0.337607,3746,P.ramiflora
0.37381,0.375661,0.376045,0.376812,0.376374,0.379781,0.373626,0.374359,0.37561,0.376812,0.381898,0.361045,0.367442,0.379213,0.377604,0.378698,0.375328,0.367292,0.380531,0.366577,0.372703,0.376404,0.362319,0.386921,0.365639,0.362353,0.369318,0.365169,0.361478,0.370813,0.366534,0.370466,0.361823,0.360656,0.356608,0.35545,5432,C.brasiliensis
0.302211,0.328021,0.311828,0.317949,0.32337,0.320548,0.319209,0.305764,0.304455,0.321429,0.284574,0.306358,0.318182,0.328321,0.308017,0.32381,0.318735,0.319588,0.320293,0.31746,0.322917,0.318945,0.301255,0.312195,0.307692,0.311947,0.318059,0.314421,0.30622,0.300481,0.335085,0.309463,0.267327,0.309013,0.304825,0.323002,3461,M.rubiginosa
0.365617,0.377171,0.373494,0.364865,0.380282,0.377863,0.377289,0.376712,0.378277,0.384858,0.383863,0.375,0.379603,0.387097,0.385475,0.398601,0.377672,0.389313,0.401709,0.394958,0.400749,0.4,0.379845,0.400709,0.37766,0.363289,0.380952,0.373219,0.383513,0.37535,0.379386,0.385714,0.381963,0.384793,0.372881,0.387244,4984,C.brasiliensis
0.373239,0.375309,0.378947,0.37931,0.370107,0.375,0.362934,0.371648,0.373333,0.373288,0.373656,0.361949,0.361746,0.364611,0.374317,0.36971,0.378641,0.366577,0.379032,0.374684,0.369077,0.365471,0.359127,0.377171,0.36971,0.353434,0.370892,0.372685,0.363445,0.371158,0.363636,0.368146,0.350384,0.353167,0.341667,0.360215,5301,C.brasiliensis
0.339934,0.35376,0.318898,0.340824,0.333333,0.346008,0.333333,0.345679,0.333333,0.355172,0.356234,0.336986,0.338983,0.342007,0.35689,0.349153,0.346939,0.340278,0.342308,0.348442,0.352313,0.346774,0.338542,0.354478,0.354331,0.339286,0.334764,0.358852,0.34058,0.341727,0.352941,0.334694,0.332226,0.344262,0.323024,0.334495,5074,P.torta
0.394495,0.419192,0.37931,0.378378,0.380435,0.37931,0.387097,0.396552,0.385714,0.416667,0.404145,0.382883,0.403061,0.398374,0.398649,0.407692,0.393258,0.383562,0.41129,0.40146,0.390728,0.4,0.394068,0.393548,0.394286,0.388889,0.393443,0.40458,0.384058,0.38806,0.391304,0.40367,0.37931,0.394089,0.376812,0.391813,5099,C.brasiliensis
0.327068,0.341304,0.317757,0.325228,0.325301,0.324484,0.320475,0.331579,0.329923,0.325424,0.335648,0.321429,0.32732,0.323024,0.327327,0.328671,0.331169,0.331551,0.326705,0.326531,0.327103,0.325069,0.326733,0.33237,0.338192,0.325,0.330065,0.332317,0.331395,0.328571,0.329545,0.330189,0.331536,0.325521,0.322078,0.331579,1099,C.brasiliensis
0.37092,0.398176,0.388235,0.39548,0.385417,0.382775,0.379913,0.383621,0.380091,0.371728,0.378531,0.378238,0.387534,0.37751,0.386266,0.390533,0.389706,0.370253,0.393443,0.380165,0.392157,0.385417,0.383333,0.404494,0.381818,0.385915,0.388535,0.380117,0.369318,0.384615,0.399381,0.392157,0.378205,0.387701,0.385621,0.388664,5393,C.brasiliensis
0.367273,0.379603,0.360714,0.361607,0.364286,0.364621,0.364583,0.372014,0.369775,0.37234,0.382114,0.361186,0.364116,0.372414,0.365079,0.374558,0.365449,0.361111,0.364549,0.367213,0.359873,0.359375,0.362745,0.373457,0.372372,0.367403,0.36803,0.371528,0.3625,0.363077,0.367865,0.371795,0.359133,0.366848,0.35514,0.363409,4542,M.guianensis
0.360784,0.379433,0.347267,0.343434,0.333333,0.346715,0.334532,0.342561,0.347403,0.352,0.375394,0.354167,0.353312,0.346863,0.346939,0.352174,0.350195,0.344681,0.363248,0.361702,0.359813,0.345992,0.346591,0.362445,0.333333,0.355311,0.333333,0.348361,0.342342,0.341667,0.360656,0.345833,0.344828,0.347403,0.336683,0.342857,6745,P.torta
0.384146,0.400763,0.368421,0.396396,0.368421,0.372549,0.389937,0.39645,0.381643,0.39196,0.401639,0.379913,0.40411,0.393939,0.42446,0.3875,0.425926,0.370968,0.407407,0.397849,0.481481,0.382353,0.399142,0.384181,0.39267,0.388889,0.373377,0.39726,0.38806,0.378995,0.392694,0.416667,0.38587,0.40678,0.413043,0.409722,4641,C.brasiliensis
0.342857,0.366548,0.364486,0.357616,0.345588,0.340741,0.342857,0.361842,0.365385,0.362416,0.361905,0.348548,0.35814,0.360902,0.36478,0.370968,0.37037,0.358382,0.364486,0.359649,0.37069,0.368421,0.359862,0.357616,0.376289,0.366935,0.364964,0.36478,0.355932,0.363636,0.368966,0.389262,0.357759,0.366534,0.352041,0.360465,3770,M.rubiginosa
0.324561,0.345638,0.321608,0.326733,0.32381,0.328502,0.328704,0.336207,0.33617,0.342105,0.341853,0.334385,0.341935,0.334532,0.344595,0.337884,0.336842,0.34375,0.340741,0.337079,0.339695,0.333333,0.339416,0.348659,0.346614,0.33677,0.349776,0.344828,0.337302,0.333333,0.339572,0.339286,0.335664,0.342857,0.328671,0.344371,1325,C.brasiliensis
0.354545,0.369444,0.340909,0.352381,0.362069,0.360759,0.360825,0.375887,0.36646,0.356164,0.349835,0.356061,0.356322,0.364238,0.362319,0.426471,0.364,0.357143,0.357664,0.37963,0.361446,0.365957,0.351275,0.391813,0.361111,0.35905,0.379679,0.380952,0.368421,0.37,0.388693,0.426471,0.353723,0.359574,0.372881,0.361522,4242,M.rubiginosa
