@relation ephenology_all-5-fold-1-16B.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {P.torta,C.brasiliensis,M.rubiginosa,P.ramiflora,M.guianensis,A.tomentosum}

@data

0.297806,0.2775,0.310345,0.271429,0.27027,0.280335,0.280156,0.272388,0.279835,0.247826,0.272727,0.281407,0.293333,0.280899,0.271889,0.27707,0.274914,0.291045,0.3,0.283898,0.282353,0.287879,0.270677,0.274262,0.281437,0.289125,0.269091,0.289773,0.28771,0.285156,0.305755,0.283237,0.291892,0.285333,0.297872,5284,C.brasiliensis
0.342949,0.328502,0.359447,0.355856,0.348416,0.336323,0.329114,0.336066,0.356223,0.337121,0.36194,0.342029,0.350694,0.333333,0.344828,0.35493,0.346154,0.353211,0.344037,0.347619,0.351931,0.357377,0.347107,0.334601,0.346008,0.353712,0.356522,0.357143,0.366379,0.334928,0.37561,0.343931,0.360759,0.341365,0.35,4446,P.torta
0.305085,0.259786,0.292929,0.282609,0.29661,0.299213,0.298387,0.292308,0.307692,0.304054,0.307292,0.288256,0.295833,0.307229,0.305556,0.272374,0.286458,0.298246,0.296296,0.285714,0.300578,0.284133,0.283019,0.279621,0.277567,0.289062,0.293333,0.282051,0.277778,0.277778,0.304348,0.289377,0.289286,0.279221,0.289157,5014,C.brasiliensis
0.319298,0.305714,0.328571,0.311688,0.293706,0.3125,0.304762,0.317536,0.316583,0.307971,0.307692,0.316547,0.309249,0.301075,0.304,0.3125,0.307692,0.303419,0.290984,0.303419,0.305147,0.320312,0.320261,0.306233,0.30163,0.293286,0.294915,0.300654,0.286689,0.308475,0.30566,0.305085,0.313063,0.289634,0.303797,3558,M.rubiginosa
0.314199,0.295515,0.317181,0.311881,0.315789,0.315353,0.316038,0.314433,0.308219,0.318898,0.316406,0.30814,0.309278,0.319703,0.31016,0.309764,0.317992,0.333333,0.321212,0.322222,0.317949,0.307692,0.333333,0.317757,0.30137,0.318966,0.333333,0.333333,0.333333,0.333333,0.333333,0.312121,0.308511,0.333333,0.319277,3746,P.ramiflora
0.282927,0.275058,0.297297,0.285266,0.289157,0.290323,0.278443,0.278932,0.286517,0.288288,0.28739,0.313679,0.295393,0.280206,0.275204,0.288945,0.275701,0.275766,0.2775,0.274011,0.285714,0.280654,0.279805,0.288945,0.283105,0.277523,0.268421,0.274699,0.2675,0.285326,0.296482,0.292958,0.299771,0.272093,0.305556,5432,C.brasiliensis
0.335843,0.343243,0.338462,0.32636,0.333333,0.347727,0.34507,0.33945,0.359244,0.349138,0.358242,0.352679,0.340381,0.353817,0.364839,0.342256,0.325866,0.314894,0.32981,0.316017,0.351759,0.35255,0.357977,0.351779,0.34321,0.335443,0.360377,0.364341,0.378709,0.350679,0.383436,0.348269,0.340708,0.337691,0.34585,3461,M.rubiginosa
0.259053,0.272936,0.276151,0.263314,0.280443,0.246445,0.237668,0.243243,0.278008,0.246964,0.275362,0.284987,0.278873,0.247148,0.283626,0.284974,0.272152,0.234043,0.23176,0.237288,0.272401,0.276042,0.256917,0.272251,0.275618,0.282555,0.292899,0.272401,0.271845,0.267442,0.289963,0.26747,0.276888,0.235294,0.264706,4984,C.brasiliensis
0.295393,0.283146,0.298551,0.29661,0.282421,0.29912,0.287066,0.298507,0.299694,0.287582,0.298193,0.298901,0.298013,0.293103,0.274194,0.291469,0.287736,0.278107,0.276882,0.280347,0.290598,0.308468,0.281407,0.28,0.2818,0.277778,0.284722,0.28,0.283019,0.282123,0.289157,0.299781,0.29434,0.293736,0.304536,5301,C.brasiliensis
0.33244,0.313984,0.34264,0.339286,0.34005,0.316354,0.330986,0.34296,0.326861,0.325069,0.323024,0.315642,0.319149,0.309091,0.299094,0.321429,0.307918,0.309392,0.306569,0.296774,0.313993,0.321212,0.291096,0.305389,0.311594,0.330544,0.31058,0.30662,0.321839,0.331933,0.312217,0.320946,0.317073,0.320755,0.330128,5074,P.torta
0.275862,0.26,0.277778,0.282443,0.264706,0.271429,0.272727,0.283784,0.288889,0.292035,0.298611,0.286957,0.27673,0.297297,0.301587,0.290503,0.286585,0.286667,0.3,0.283582,0.294118,0.282723,0.294574,0.282051,0.283019,0.297872,0.292453,0.29661,0.29,0.294737,0.297619,0.287234,0.288991,0.294737,0.275449,5099,C.brasiliensis
0.348168,0.325956,0.337875,0.328571,0.324873,0.319202,0.317949,0.315315,0.313397,0.321782,0.323232,0.329082,0.329049,0.315315,0.313783,0.322642,0.304825,0.310502,0.309582,0.309133,0.324742,0.326425,0.309979,0.303398,0.321429,0.306792,0.313397,0.318396,0.315036,0.319613,0.319018,0.325521,0.331646,0.318681,0.326087,1099,C.brasiliensis
