@relation ephenology_all-5-fold-3-16B.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {C.brasiliensis,P.ramiflora,P.torta,M.rubiginosa,M.guianensis,A.tomentosum}

@data

0.316364,0.322476,0.341317,0.31,0.329412,0.326772,0.310924,0.317597,0.323741,0.316742,0.320175,0.346269,0.349265,0.322034,0.322884,0.337302,0.335294,0.33033,0.343849,0.353147,0.320197,0.334615,0.345048,0.323615,0.325123,0.323353,0.325,0.321429,0.337398,0.344828,0.333333,0.342373,0.340909,0.31677,0.336806,5546,P.torta
0.288184,0.274559,0.282143,0.292096,0.284173,0.286245,0.277978,0.298701,0.284345,0.291429,0.293103,0.297082,0.286104,0.27957,0.294537,0.294118,0.298368,0.291139,0.291045,0.297158,0.304918,0.315508,0.3,0.298901,0.302594,0.300261,0.300275,0.304462,0.306849,0.300613,0.311419,0.311295,0.302267,0.299169,0.307918,5354,C.brasiliensis
0.295711,0.294258,0.301075,0.294737,0.298182,0.292419,0.295681,0.294521,0.295374,0.305322,0.304734,0.315029,0.312121,0.305785,0.284698,0.306306,0.297546,0.296667,0.294915,0.296417,0.302521,0.304029,0.285276,0.296512,0.294574,0.293907,0.295775,0.302013,0.295455,0.299578,0.312775,0.307443,0.304795,0.29682,0.308642,2999,P.ramiflora
0.292279,0.289888,0.300448,0.303879,0.300866,0.30735,0.30206,0.294521,0.304444,0.295806,0.292621,0.294872,0.298246,0.291566,0.305239,0.309717,0.304167,0.302,0.308285,0.306452,0.31202,0.309368,0.302,0.295806,0.302273,0.301527,0.307116,0.305769,0.301708,0.301075,0.311828,0.302326,0.307692,0.302682,0.298283,3161,P.ramiflora
0.377432,0.384858,0.393064,0.396739,0.39267,0.380435,0.38342,0.391089,0.38191,0.378855,0.37931,0.385455,0.378049,0.372727,0.369458,0.387097,0.382353,0.388626,0.384615,0.379808,0.388626,0.394636,0.375,0.355731,0.372385,0.372727,0.367965,0.369919,0.353982,0.366972,0.375,0.382671,0.376344,0.372951,0.401316,6371,P.torta
0.338824,0.342984,0.338369,0.33908,0.335277,0.330383,0.328571,0.323204,0.32345,0.315136,0.31738,0.321016,0.312925,0.301339,0.305987,0.308316,0.303158,0.293065,0.303297,0.300226,0.30854,0.318538,0.303529,0.29803,0.308989,0.318878,0.313539,0.307143,0.310722,0.306373,0.328076,0.32,0.32021,0.311054,0.318486,2934,P.torta
0.3083,0.289231,0.310127,0.30303,0.316092,0.317073,0.297436,0.311111,0.316092,0.317757,0.320675,0.317365,0.302083,0.309417,0.320225,0.315789,0.310469,0.317536,0.319444,0.333333,0.311628,0.325658,0.317164,0.314465,0.319392,0.308108,0.323276,0.311741,0.313084,0.324742,0.327957,0.325088,0.316832,0.323077,0.326772,5663,C.brasiliensis
0.275168,0.266667,0.270115,0.277778,0.282609,0.28,0.283898,0.276498,0.283654,0.285156,0.288809,0.288089,0.281139,0.281633,0.292308,0.286154,0.280992,0.280899,0.298851,0.278107,0.285714,0.286127,0.284483,0.283668,0.274368,0.305556,0.292683,0.297778,0.293532,0.292079,0.304124,0.284507,0.286908,0.294931,0.286517,4370,M.rubiginosa
0.284038,0.293011,0.295238,0.299401,0.29595,0.296636,0.292453,0.295181,0.297735,0.290909,0.289902,0.312312,0.298413,0.288401,0.290735,0.303371,0.297753,0.301205,0.296188,0.290735,0.301961,0.30303,0.293578,0.295977,0.296703,0.302632,0.297806,0.295732,0.297546,0.301038,0.314176,0.304487,0.308411,0.299401,0.309973,2998,P.ramiflora
