@relation ephenology_all-5-fold-5-16B.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {C.brasiliensis,M.rubiginosa,P.torta,A.tomentosum,P.ramiflora,M.guianensis}

@data

0.339109,0.351648,0.34891,0.335526,0.349359,0.349673,0.349515,0.35,0.36039,0.351266,0.356923,0.3531,0.353448,0.355685,0.358434,0.353403,0.34104,0.348624,0.342679,0.349112,0.344322,0.355932,0.347222,0.342857,0.328125,0.34626,0.348168,0.346667,0.345,0.349359,0.358025,0.346154,0.336842,0.335025,0.333333,2513,P.torta
0.32853,0.321526,0.325,0.311258,0.325424,0.323129,0.343972,0.340659,0.334572,0.327869,0.32872,0.327485,0.328125,0.328947,0.345588,0.351759,0.342508,0.326531,0.335526,0.338078,0.344322,0.340836,0.341853,0.324841,0.327338,0.338403,0.342857,0.342561,0.33829,0.345865,0.348018,0.325301,0.333333,0.342373,0.331325,1417,C.brasiliensis
0.31203,0.303297,0.29927,0.289916,0.292,0.285171,0.306452,0.302491,0.297619,0.306034,0.30273,0.31746,0.3125,0.309756,0.302632,0.315556,0.30086,0.291188,0.30363,0.290323,0.304196,0.321716,0.30605,0.286982,0.302671,0.303279,0.30662,0.299674,0.285714,0.300366,0.294821,0.315385,0.315364,0.287582,0.306977,1792,M.rubiginosa
0.267717,0.278146,0.275362,0.253521,0.271739,0.254545,0.25731,0.255952,0.280899,0.254237,0.276995,0.277228,0.268293,0.256983,0.257143,0.278846,0.279528,0.251852,0.276836,0.277457,0.283843,0.27762,0.293173,0.285714,0.261538,0.292035,0.296748,0.292776,0.294821,0.294821,0.302632,0.277628,0.285333,0.291846,0.278378,4463,C.brasiliensis
0.338384,0.353774,0.358621,0.36129,0.348387,0.352201,0.335443,0.344156,0.344156,0.33526,0.341463,0.344498,0.345029,0.335329,0.333333,0.363636,0.356383,0.352941,0.352564,0.350318,0.346154,0.355932,0.346821,0.331551,0.350993,0.359477,0.351852,0.355828,0.34375,0.351724,0.352941,0.345946,0.352941,0.34359,0.368932,6291,P.torta
0.337143,0.323308,0.338983,0.328025,0.318328,0.33119,0.318792,0.314286,0.315476,0.30581,0.314199,0.311856,0.316489,0.317919,0.316384,0.326693,0.305344,0.3125,0.314985,0.312883,0.323353,0.32337,0.314286,0.305882,0.313846,0.324074,0.320475,0.324638,0.324074,0.335463,0.334572,0.326425,0.333333,0.330159,0.326622,1160,C.brasiliensis
0.280443,0.263889,0.290323,0.287554,0.288973,0.289683,0.297561,0.291304,0.284585,0.252809,0.288321,0.278772,0.275316,0.286822,0.3,0.28382,0.276873,0.295964,0.284483,0.296748,0.287197,0.279412,0.274131,0.282958,0.296407,0.282686,0.268482,0.288525,0.283784,0.304196,0.308271,0.293605,0.283465,0.292064,0.289575,4540,C.brasiliensis
0.297143,0.268939,0.292135,0.306306,0.292453,0.283019,0.298387,0.290323,0.288136,0.304636,0.298246,0.296167,0.294372,0.301676,0.3,0.297959,0.297561,0.301205,0.308176,0.298507,0.296512,0.301158,0.295181,0.290909,0.291304,0.307692,0.306011,0.306452,0.307692,0.310811,0.312925,0.292419,0.303922,0.303797,0.289474,5339,C.brasiliensis
0.278772,0.263052,0.28,0.259587,0.285347,0.276423,0.269231,0.272988,0.27566,0.257576,0.282123,0.27619,0.284264,0.274725,0.278772,0.284689,0.277641,0.284595,0.280992,0.279133,0.277108,0.27907,0.270677,0.270886,0.264305,0.28392,0.280788,0.281095,0.27551,0.28877,0.290419,0.289352,0.285714,0.285714,0.285714,3841,M.rubiginosa
0.333333,0.320442,0.33564,0.333333,0.337793,0.33121,0.307918,0.295393,0.299748,0.24375,0.2493,0.290237,0.279778,0.246719,0.288462,0.290249,0.272109,0.261972,0.27957,0.274809,0.284483,0.278515,0.270408,0.28125,0.272109,0.285714,0.268421,0.27182,0.281596,0.286299,0.292899,0.30179,0.290801,0.287263,0.303571,4832,P.torta
0.329073,0.325444,0.35102,0.333333,0.330645,0.333333,0.340996,0.349794,0.342975,0.32491,0.327273,0.316265,0.324324,0.324723,0.328244,0.341954,0.332192,0.340909,0.34127,0.331984,0.333333,0.320558,0.329457,0.324818,0.307087,0.310502,0.318548,0.311475,0.311688,0.325893,0.33871,0.325503,0.329932,0.316742,0.325503,1223,C.brasiliensis
0.256831,0.260062,0.238532,0.258621,0.284884,0.252033,0.246377,0.255172,0.269504,0.237762,0.252941,0.267442,0.242775,0.244186,0.281553,0.274648,0.268482,0.267281,0.292096,0.27897,0.27451,0.280851,0.28655,0.275676,0.280556,0.279133,0.262774,0.276316,0.261194,0.261224,0.292683,0.261993,0.281457,0.271605,0.270042,4643,M.rubiginosa
0.271248,0.269091,0.265659,0.272016,0.26378,0.272366,0.270872,0.272727,0.269231,0.270609,0.266798,0.292308,0.261146,0.26454,0.266932,0.273663,0.277978,0.270833,0.269439,0.283364,0.278729,0.277533,0.27883,0.281924,0.279621,0.281746,0.275665,0.272549,0.275794,0.275,0.282051,0.279817,0.284783,0.285192,0.276029,5193,C.brasiliensis
0.283422,0.261484,0.303867,0.28125,0.297143,0.300613,0.294872,0.275591,0.27972,0.267974,0.291209,0.285714,0.273973,0.286585,0.289855,0.290429,0.291667,0.300752,0.30814,0.306358,0.302041,0.294798,0.299107,0.296296,0.301948,0.314894,0.315789,0.315126,0.301802,0.3125,0.310881,0.281818,0.281346,0.3,0.28655,4588,C.brasiliensis
