@relation ephenology_all-5-fold-2-16R.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {M.rubiginosa,P.ramiflora,M.guianensis,C.brasiliensis,P.torta,A.tomentosum}

@data

0.336788,0.318284,0.33046,0.328841,0.331507,0.330645,0.328313,0.327913,0.330357,0.328488,0.326877,0.324257,0.329832,0.338028,0.329016,0.32998,0.324165,0.336864,0.332692,0.330275,0.323864,0.314815,0.335526,0.326389,0.324405,0.324786,0.323661,0.33012,0.318987,0.314935,0.299663,0.313316,0.326923,0.319307,0.325678,2814,P.torta
0.357558,0.365471,0.369128,0.36875,0.358885,0.365449,0.374603,0.382166,0.365625,0.380697,0.362205,0.365591,0.364679,0.375648,0.377465,0.360092,0.365617,0.364641,0.364384,0.365169,0.358543,0.36534,0.363636,0.367816,0.367347,0.366667,0.362881,0.363636,0.365559,0.360656,0.348276,0.367397,0.359813,0.359375,0.365239,3601,M.rubiginosa
0.348432,0.339066,0.310811,0.323009,0.322727,0.313084,0.325688,0.325792,0.325792,0.333333,0.319502,0.328125,0.327402,0.328947,0.325991,0.325203,0.324324,0.325359,0.328638,0.326829,0.311404,0.325733,0.331967,0.329317,0.33557,0.318182,0.32,0.334677,0.324111,0.317597,0.316583,0.338462,0.325733,0.330827,0.336516,3178,P.ramiflora
0.368613,0.372208,0.364372,0.348,0.37037,0.359307,0.371681,0.376963,0.368421,0.368231,0.365385,0.361905,0.367041,0.375415,0.370558,0.36036,0.361111,0.363296,0.359862,0.363636,0.346847,0.37013,0.379661,0.386768,0.370787,0.373984,0.376582,0.38206,0.371015,0.376344,0.368,0.375,0.375328,0.376471,0.368876,4430,M.guianensis
0.355731,0.380814,0.349206,0.358209,0.346774,0.346154,0.333333,0.35461,0.363014,0.347305,0.329897,0.372549,0.373188,0.351351,0.350318,0.354478,0.362245,0.353383,0.351562,0.34127,0.363184,0.374074,0.350575,0.367816,0.368613,0.361963,0.35468,0.354545,0.349515,0.356808,0.34434,0.364943,0.362903,0.367003,0.365248,4558,C.brasiliensis
0.242678,0.243968,0.217172,0.222727,0.237443,0.240741,0.225806,0.229508,0.239583,0.225434,0.217617,0.23166,0.225225,0.230337,0.224852,0.25,0.242553,0.226316,0.230392,0.221591,0.241071,0.246006,0.2287,0.262745,0.257235,0.230303,0.244019,0.25431,0.251256,0.245536,0.25,0.273936,0.262987,0.242268,0.25679,6476,P.torta
0.349138,0.364286,0.349727,0.338624,0.338164,0.338384,0.338164,0.333333,0.338384,0.350962,0.338235,0.356115,0.349558,0.351759,0.333333,0.346939,0.349558,0.333333,0.333333,0.333333,0.338542,0.356061,0.34466,0.349138,0.362385,0.346369,0.34434,0.344498,0.345361,0.333333,0.327273,0.359848,0.355072,0.344037,0.356557,3545,M.rubiginosa
0.367521,0.377193,0.365854,0.371795,0.366864,0.370861,0.367089,0.369427,0.36875,0.368715,0.359223,0.369231,0.374074,0.365979,0.364706,0.366337,0.371179,0.357576,0.359477,0.360248,0.362385,0.364486,0.365979,0.371681,0.369963,0.352564,0.359116,0.358289,0.358382,0.363636,0.349398,0.37299,0.37037,0.365169,0.374214,4767,C.brasiliensis
0.375,0.380457,0.383234,0.374486,0.367857,0.374517,0.386364,0.387931,0.381818,0.391892,0.376426,0.372315,0.370262,0.380392,0.376068,0.366048,0.372093,0.376147,0.379487,0.371585,0.368421,0.368421,0.379913,0.371728,0.386973,0.388889,0.376147,0.378151,0.37788,0.374468,0.35865,0.381068,0.380597,0.386957,0.375267,5097,C.brasiliensis
0.352941,0.339623,0.342105,0.344729,0.344411,0.331395,0.330033,0.327703,0.337539,0.354839,0.338346,0.352564,0.342466,0.347107,0.341365,0.336134,0.343195,0.340659,0.328063,0.344948,0.325103,0.339564,0.347403,0.356164,0.335593,0.334586,0.336245,0.330579,0.347619,0.313364,0.315,0.334302,0.331288,0.331858,0.338983,5595,P.torta
0.367893,0.383812,0.361446,0.361233,0.369811,0.363296,0.370229,0.371542,0.370213,0.375494,0.366412,0.371831,0.36859,0.370656,0.375,0.36413,0.367213,0.376106,0.37799,0.375635,0.366667,0.373333,0.37037,0.38403,0.374214,0.376963,0.369565,0.373913,0.372642,0.372093,0.358852,0.371429,0.372222,0.368201,0.376731,4414,C.brasiliensis
0.369863,0.384824,0.371179,0.369478,0.384615,0.376569,0.376068,0.370079,0.370229,0.370656,0.366667,0.373297,0.373771,0.370518,0.369231,0.369048,0.37037,0.373665,0.371648,0.372385,0.368821,0.372283,0.361011,0.373188,0.384615,0.367257,0.366667,0.370787,0.380753,0.369863,0.361386,0.378299,0.373563,0.371841,0.383523,4880,C.brasiliensis
0.30713,0.297674,0.299517,0.317568,0.314031,0.316397,0.307159,0.309524,0.296842,0.294686,0.287037,0.307018,0.312766,0.288618,0.323777,0.318815,0.32844,0.32282,0.324952,0.316832,0.308434,0.303653,0.316888,0.315353,0.314286,0.31569,0.299445,0.30916,0.308511,0.304348,0.263473,0.297468,0.311111,0.305857,0.311195,3460,M.rubiginosa
0.370558,0.379747,0.376238,0.373832,0.376582,0.373377,0.371336,0.37013,0.373737,0.371951,0.370717,0.37027,0.369822,0.373457,0.372937,0.364641,0.371758,0.374603,0.371795,0.374603,0.365517,0.370262,0.375758,0.376022,0.37785,0.370717,0.370821,0.372727,0.375776,0.372549,0.365591,0.376022,0.373984,0.376119,0.379213,3842,M.rubiginosa
0.331034,0.34009,0.324638,0.339888,0.345404,0.348066,0.348958,0.349754,0.349057,0.346154,0.347126,0.338362,0.342495,0.340771,0.347548,0.330922,0.343874,0.345188,0.34632,0.340807,0.335,0.329519,0.338395,0.347826,0.344111,0.334831,0.340045,0.337079,0.338636,0.335802,0.327327,0.33853,0.331858,0.343387,0.342052,1063,C.brasiliensis
0.371795,0.386997,0.363184,0.370787,0.370787,0.361111,0.369565,0.369942,0.373057,0.367647,0.359184,0.369048,0.372549,0.366071,0.357488,0.362179,0.365854,0.357143,0.36,0.355263,0.365741,0.371069,0.364486,0.367816,0.383513,0.38,0.367347,0.368421,0.367876,0.372881,0.358382,0.377926,0.378549,0.364929,0.37218,5050,C.brasiliensis
0.337143,0.340483,0.332046,0.336918,0.329588,0.333333,0.330882,0.329749,0.32963,0.337838,0.336806,0.337143,0.336508,0.340909,0.341727,0.337731,0.3375,0.336996,0.335821,0.333333,0.334615,0.337621,0.333333,0.340351,0.34058,0.331897,0.331984,0.330579,0.32766,0.331897,0.321244,0.336478,0.333333,0.330508,0.342541,3419,P.ramiflora
0.334214,0.334656,0.339119,0.337317,0.337317,0.337766,0.337317,0.337317,0.337766,0.340483,0.334656,0.336436,0.335106,0.336424,0.335535,0.335535,0.337766,0.337317,0.337317,0.337317,0.337766,0.333333,0.338216,0.336424,0.334688,0.336424,0.337317,0.337317,0.334651,0.337317,0.34094,0.331536,0.335544,0.339572,0.336436,2683,M.rubiginosa
0.331593,0.33,0.303483,0.317708,0.301075,0.298246,0.28655,0.303226,0.304762,0.322388,0.320652,0.318538,0.320856,0.32419,0.309237,0.321656,0.317857,0.313364,0.313901,0.325,0.310345,0.326984,0.317343,0.327815,0.320558,0.318182,0.324444,0.322344,0.312281,0.32377,0.307359,0.323034,0.324638,0.319549,0.321716,3505,P.torta
0.356481,0.361538,0.344828,0.352113,0.346405,0.349398,0.355422,0.346591,0.345238,0.357143,0.333333,0.356618,0.358491,0.37037,0.346535,0.346049,0.349138,0.358621,0.340136,0.34,0.344978,0.354167,0.347368,0.362069,0.356643,0.347305,0.348066,0.34715,0.345455,0.340909,0.322581,0.350932,0.362018,0.358974,0.360759,4040,A.tomentosum
0.366667,0.363388,0.361702,0.361991,0.364532,0.375,0.362245,0.36,0.360406,0.372093,0.355556,0.358491,0.359848,0.369369,0.360656,0.360759,0.369176,0.362445,0.362069,0.366071,0.36,0.363333,0.360996,0.371747,0.374532,0.366972,0.364807,0.365957,0.368182,0.370892,0.360406,0.36,0.366366,0.370536,0.369906,3907,M.rubiginosa
0.368159,0.362667,0.368421,0.346939,0.345455,0.372549,0.365217,0.362069,0.37069,0.357143,0.360947,0.363636,0.376623,0.375839,0.354037,0.362676,0.354286,0.354839,0.349593,0.362069,0.365,0.357542,0.35119,0.35023,0.365314,0.391667,0.350649,0.346821,0.368056,0.355263,0.357143,0.368966,0.366667,0.363636,0.371324,4354,M.rubiginosa
0.367117,0.36758,0.379085,0.37013,0.379661,0.376543,0.365979,0.373219,0.374622,0.37469,0.376884,0.378319,0.379902,0.376374,0.365714,0.354369,0.368831,0.364198,0.36478,0.36478,0.354633,0.363014,0.357341,0.375321,0.36,0.356808,0.35533,0.362694,0.363636,0.364865,0.356495,0.353222,0.363436,0.374408,0.364508,5103,C.brasiliensis
0.331787,0.344262,0.329341,0.333333,0.335312,0.346278,0.339623,0.337539,0.337931,0.338509,0.33033,0.339523,0.336283,0.337912,0.34748,0.332594,0.339833,0.344937,0.353741,0.337398,0.326389,0.335958,0.318339,0.325175,0.347561,0.342404,0.340206,0.334507,0.341935,0.336996,0.328413,0.330357,0.333333,0.341615,0.333333,4535,P.torta
0.322489,0.31337,0.317919,0.31749,0.318812,0.316008,0.308977,0.316456,0.309426,0.3125,0.309426,0.310345,0.305955,0.309702,0.316532,0.309804,0.322772,0.320248,0.319475,0.319654,0.307692,0.31,0.308017,0.310417,0.314208,0.308756,0.304167,0.304622,0.298828,0.300493,0.281553,0.302752,0.303318,0.307512,0.314856,3358,M.rubiginosa
