@relation ephenology_all-5-fold-2-17B.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {M.rubiginosa,P.ramiflora,M.guianensis,C.brasiliensis,P.torta,A.tomentosum}

@data

0.326975,0.349776,0.313253,0.315789,0.30474,0.308017,0.308668,0.323017,0.308696,0.307517,0.334129,0.320542,0.310941,0.3273,0.317391,0.317485,0.318306,0.32362,0.316166,0.319118,0.309298,0.334112,0.335505,0.32687,0.317073,0.313187,0.34375,0.290526,0.318618,0.31528,0.324421,0.328612,0.333333,0.352087,0.325,2814,P.torta
0.307927,0.292271,0.303136,0.30292,0.311538,0.29845,0.29304,0.305648,0.305369,0.289086,0.297767,0.288136,0.29397,0.302778,0.291291,0.304636,0.293769,0.315457,0.309598,0.308411,0.297235,0.288991,0.293399,0.293651,0.295455,0.284553,0.290909,0.288557,0.288515,0.288462,0.3,0.292929,0.295405,0.321053,0.297587,3601,M.rubiginosa
0.325733,0.346667,0.351801,0.351429,0.353116,0.352071,0.346626,0.353846,0.361702,0.347134,0.352313,0.340299,0.350746,0.354305,0.363946,0.363322,0.353535,0.356401,0.364621,0.357934,0.352239,0.354396,0.357664,0.34507,0.338816,0.364583,0.365854,0.357401,0.348276,0.346939,0.336111,0.338462,0.347962,0.357143,0.338129,3178,P.ramiflora
0.292994,0.29912,0.281967,0.308475,0.288462,0.293478,0.271375,0.287625,0.285714,0.295385,0.290323,0.304075,0.300395,0.299363,0.289954,0.296296,0.304569,0.296089,0.305913,0.301887,0.306931,0.295522,0.285714,0.281609,0.290488,0.289157,0.287599,0.27566,0.28777,0.286604,0.289398,0.280347,0.276961,0.306709,0.286501,4430,M.guianensis
0.318367,0.294833,0.301282,0.311765,0.322034,0.307292,0.29902,0.309013,0.316327,0.307359,0.309963,0.298137,0.304167,0.301887,0.311688,0.32,0.302041,0.313043,0.325359,0.298077,0.30597,0.305369,0.29434,0.295203,0.287671,0.307692,0.307393,0.299639,0.310714,0.303249,0.291925,0.284932,0.292383,0.306189,0.286567,4558,C.brasiliensis
0.432432,0.459538,0.430147,0.422939,0.42069,0.413559,0.4375,0.435811,0.434307,0.447489,0.481013,0.40694,0.453745,0.429119,0.44,0.441767,0.413655,0.433594,0.433071,0.425101,0.418398,0.448101,0.4125,0.426791,0.425806,0.410448,0.405797,0.42029,0.40146,0.399281,0.409214,0.418367,0.424581,0.441088,0.445161,6476,P.torta
0.310954,0.3,0.318841,0.331034,0.343137,0.331081,0.327273,0.3213,0.320463,0.318519,0.333333,0.316901,0.319149,0.323171,0.316294,0.32853,0.328358,0.328671,0.330813,0.331313,0.320132,0.315985,0.320197,0.314286,0.31405,0.334895,0.330623,0.320635,0.320132,0.330909,0.319728,0.314516,0.319444,0.351852,0.312268,3545,M.rubiginosa
0.290323,0.275,0.275132,0.276836,0.283133,0.283871,0.281768,0.288889,0.290698,0.29064,0.281125,0.270701,0.283105,0.294118,0.293532,0.28934,0.282051,0.289941,0.293333,0.283784,0.294118,0.276074,0.283186,0.275168,0.280528,0.300546,0.303483,0.2875,0.300885,0.298077,0.296703,0.27972,0.285714,0.29918,0.275168,4767,C.brasiliensis
0.287805,0.272727,0.297101,0.296774,0.297468,0.298781,0.293785,0.302703,0.3,0.285714,0.278638,0.27972,0.286689,0.285088,0.310044,0.302564,0.2891,0.3125,0.314103,0.311377,0.274627,0.267303,0.278884,0.272277,0.282723,0.316384,0.307018,0.298246,0.301435,0.307692,0.280702,0.271739,0.270588,0.286184,0.278161,5097,C.brasiliensis
