@relation ephenology_all-5-fold-5-17G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {C.brasiliensis,M.rubiginosa,P.torta,A.tomentosum,P.ramiflora,M.guianensis}

@data

0.34,0.330729,0.330484,0.333333,0.333333,0.335484,0.334365,0.334375,0.327536,0.326923,0.331343,0.328125,0.327177,0.331683,0.335092,0.336842,0.329238,0.331695,0.330935,0.328018,0.329082,0.324808,0.33105,0.33427,0.33526,0.333333,0.330544,0.333333,0.328452,0.331002,0.33125,0.333333,0.337469,0.326446,0.338109,2513,P.torta
0.332481,0.319559,0.32684,0.328018,0.329519,0.326087,0.323232,0.327078,0.333333,0.321981,0.326861,0.327731,0.334405,0.320917,0.323263,0.323442,0.331429,0.325153,0.333333,0.333333,0.31856,0.310769,0.323077,0.331034,0.32381,0.323944,0.321875,0.326861,0.327869,0.327815,0.326975,0.324503,0.321937,0.319885,0.323944,1417,C.brasiliensis
0.333981,0.340858,0.336016,0.336152,0.334101,0.337182,0.334091,0.333333,0.336,0.342672,0.34375,0.337004,0.345133,0.345898,0.35,0.343407,0.348052,0.338384,0.349206,0.351648,0.343902,0.339667,0.345845,0.352304,0.347826,0.350254,0.350746,0.351621,0.358056,0.357333,0.353211,0.355623,0.358639,0.355556,0.355685,1792,M.rubiginosa
0.34375,0.347932,0.342282,0.335404,0.338028,0.346939,0.339623,0.335227,0.350877,0.348571,0.34728,0.349515,0.348958,0.351351,0.331551,0.345029,0.349727,0.350877,0.354839,0.346154,0.35,0.348189,0.349345,0.35,0.344444,0.346369,0.347619,0.341176,0.347418,0.346667,0.340557,0.346505,0.340686,0.342857,0.352239,4463,C.brasiliensis
0.326667,0.317204,0.331034,0.320988,0.320988,0.327485,0.333333,0.325843,0.325581,0.333333,0.327957,0.321267,0.325301,0.331658,0.327869,0.322917,0.322581,0.318408,0.324324,0.323864,0.323671,0.3125,0.323699,0.327957,0.318436,0.313953,0.315217,0.321429,0.316667,0.317949,0.316514,0.316092,0.317797,0.311628,0.313514,6291,P.torta
0.331551,0.33687,0.3375,0.335,0.338422,0.345588,0.353234,0.352246,0.349776,0.355972,0.35,0.35109,0.360775,0.356989,0.353183,0.356215,0.353261,0.355599,0.354478,0.350674,0.34968,0.34596,0.351464,0.35503,0.347709,0.352273,0.351816,0.350515,0.347913,0.349495,0.338912,0.345912,0.346154,0.334066,0.346154,1160,C.brasiliensis
0.35023,0.378973,0.358804,0.364312,0.366337,0.366038,0.356115,0.353909,0.348,0.365546,0.374613,0.371658,0.362963,0.361217,0.340996,0.350806,0.360153,0.347015,0.353211,0.333333,0.347578,0.366577,0.352751,0.350923,0.350282,0.351438,0.344371,0.34472,0.34106,0.344828,0.342767,0.354108,0.348558,0.348837,0.348189,4540,C.brasiliensis
0.3375,0.324786,0.333333,0.33871,0.336364,0.351852,0.342342,0.340741,0.338843,0.331126,0.323944,0.325806,0.328205,0.331461,0.337931,0.338028,0.33121,0.342857,0.341463,0.34127,0.327511,0.324138,0.327586,0.333333,0.328063,0.330645,0.335443,0.333333,0.333333,0.34507,0.330275,0.335689,0.326816,0.324607,0.330508,5339,C.brasiliensis
0.347973,0.352144,0.346154,0.352273,0.347826,0.358566,0.358333,0.365079,0.357414,0.360544,0.349367,0.350962,0.356522,0.358621,0.362126,0.357143,0.34296,0.349206,0.344978,0.32906,0.347258,0.345324,0.348348,0.34748,0.346633,0.3361,0.333333,0.342424,0.347079,0.338762,0.346253,0.34414,0.342105,0.341808,0.347826,3841,M.rubiginosa
0.332623,0.323204,0.335835,0.333996,0.34188,0.340265,0.348276,0.349754,0.35085,0.370062,0.373961,0.36715,0.369231,0.362949,0.371359,0.360396,0.350365,0.363139,0.357964,0.35313,0.359073,0.36715,0.358095,0.383523,0.387363,0.364211,0.353945,0.385488,0.369658,0.362345,0.370892,0.365031,0.37741,0.360465,0.360795,4832,P.torta
0.33033,0.330159,0.328859,0.327526,0.333333,0.333333,0.33218,0.322917,0.327338,0.335593,0.335616,0.334311,0.334437,0.331081,0.334483,0.330855,0.344697,0.326087,0.343511,0.339768,0.335548,0.333333,0.333333,0.345588,0.339286,0.335938,0.340909,0.342373,0.33887,0.348921,0.337349,0.352273,0.348534,0.330033,0.348659,1223,C.brasiliensis
0.354839,0.356618,0.326923,0.34555,0.337017,0.345238,0.351145,0.365169,0.361538,0.354286,0.349345,0.351064,0.352601,0.356481,0.335714,0.347953,0.344697,0.343195,0.34965,0.355263,0.347015,0.344086,0.348485,0.364055,0.340491,0.34,0.354651,0.336788,0.341232,0.346369,0.344037,0.343234,0.343195,0.343434,0.355401,4643,M.rubiginosa
0.345455,0.357414,0.358792,0.355219,0.360485,0.356902,0.355634,0.351438,0.356089,0.358621,0.361328,0.363636,0.363636,0.357143,0.358268,0.355634,0.347761,0.34846,0.34984,0.343899,0.350775,0.364017,0.358932,0.353211,0.356347,0.358333,0.353448,0.355401,0.349206,0.35568,0.349785,0.350763,0.351085,0.348214,0.355072,5193,C.brasiliensis
