@relation ephenology_all-5-fold-4-17R.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {M.rubiginosa,P.torta,A.tomentosum,C.brasiliensis,M.guianensis,P.ramiflora}

@data

0.343407,0.329446,0.33871,0.340037,0.339731,0.344196,0.353081,0.355408,0.352941,0.354167,0.335423,0.331445,0.342342,0.348958,0.348052,0.348558,0.347439,0.333333,0.335749,0.351421,0.336257,0.364238,0.342776,0.33657,0.34386,0.335484,0.349057,0.348592,0.33209,0.33677,0.34472,0.337838,0.329897,0.325733,0.337209,4291,P.torta
0.325175,0.305239,0.317518,0.319788,0.318519,0.319853,0.319495,0.322638,0.314647,0.325658,0.314554,0.329004,0.312849,0.324493,0.332155,0.328152,0.333333,0.328125,0.32807,0.326889,0.327935,0.323671,0.320583,0.322581,0.324873,0.324042,0.32049,0.327381,0.322404,0.328244,0.329806,0.323607,0.32598,0.306641,0.326761,821,M.rubiginosa
0.307471,0.312896,0.323661,0.32,0.327869,0.327628,0.330918,0.326969,0.320665,0.316708,0.310924,0.3225,0.301703,0.309795,0.319095,0.314721,0.32598,0.323155,0.3225,0.315534,0.324766,0.320093,0.320093,0.333333,0.325967,0.31982,0.314534,0.325581,0.316222,0.321348,0.333333,0.329513,0.335802,0.315556,0.32853,2796,P.torta
0.32563,0.316742,0.330784,0.334572,0.338403,0.341603,0.334653,0.334646,0.325,0.328713,0.314286,0.322581,0.319475,0.329114,0.336557,0.335097,0.342419,0.335628,0.341297,0.33959,0.331984,0.324766,0.332707,0.323607,0.324937,0.331783,0.336538,0.338318,0.336991,0.334477,0.347158,0.327177,0.327791,0.319739,0.330667,1805,A.tomentosum
0.368217,0.378641,0.348592,0.352227,0.358491,0.354331,0.369492,0.361111,0.36036,0.360248,0.345277,0.361757,0.360269,0.360526,0.367742,0.366477,0.360313,0.373494,0.362805,0.376947,0.357702,0.35023,0.356201,0.360313,0.365385,0.361842,0.35906,0.356083,0.361624,0.357414,0.354305,0.358974,0.364902,0.325503,0.355742,3617,A.tomentosum
0.369231,0.374332,0.381579,0.377682,0.380952,0.379167,0.380228,0.382143,0.371324,0.378472,0.368715,0.374046,0.377778,0.381538,0.377622,0.3829,0.3875,0.38255,0.385159,0.388112,0.376731,0.376694,0.383234,0.381818,0.381471,0.383117,0.381703,0.382789,0.379104,0.382263,0.381766,0.382429,0.378132,0.364486,0.37931,5996,C.brasiliensis
0.340426,0.357843,0.325893,0.33913,0.338983,0.343348,0.349057,0.342593,0.339901,0.345455,0.336957,0.362963,0.34359,0.342222,0.341014,0.345133,0.346614,0.343874,0.34,0.348,0.342105,0.372093,0.356557,0.369295,0.363229,0.34507,0.341772,0.355263,0.341969,0.338542,0.35124,0.358268,0.364583,0.324324,0.36,3816,M.rubiginosa
0.349693,0.370166,0.333333,0.351145,0.343284,0.333333,0.342466,0.341935,0.335404,0.351759,0.362369,0.369444,0.365854,0.351852,0.342105,0.341837,0.357843,0.340541,0.341772,0.341463,0.371429,0.37883,0.357143,0.37884,0.372152,0.338798,0.340708,0.354962,0.337778,0.338028,0.358491,0.373377,0.377892,0.347518,0.37987,4784,C.brasiliensis
0.343511,0.361345,0.34413,0.34874,0.35102,0.34252,0.349345,0.34322,0.343478,0.363636,0.344262,0.368771,0.364583,0.360153,0.353659,0.355705,0.362369,0.351351,0.358209,0.35,0.37395,0.374074,0.382353,0.380282,0.385714,0.390863,0.393333,0.387097,0.391892,0.377049,0.372294,0.365931,0.359268,0.338028,0.358025,3814,A.tomentosum
0.355263,0.367841,0.385593,0.380342,0.378601,0.356436,0.364444,0.355372,0.363229,0.364103,0.353571,0.357955,0.361111,0.368254,0.368056,0.374593,0.381616,0.364549,0.366795,0.366379,0.356757,0.354271,0.359736,0.349432,0.361757,0.355102,0.353383,0.354515,0.343643,0.352313,0.3531,0.358639,0.358079,0.338415,0.354592,3832,M.rubiginosa
0.359756,0.377581,0.377483,0.378378,0.379888,0.382653,0.389189,0.373541,0.379747,0.38247,0.369792,0.371429,0.389685,0.389685,0.375405,0.400778,0.400735,0.381757,0.376761,0.385965,0.373596,0.372414,0.382271,0.376344,0.369748,0.370968,0.380192,0.386293,0.371795,0.371831,0.36478,0.366391,0.363636,0.355705,0.364641,5002,C.brasiliensis
0.341216,0.342466,0.340807,0.343689,0.34585,0.341603,0.352041,0.352941,0.347619,0.354839,0.346875,0.353403,0.344444,0.362473,0.354212,0.350097,0.351648,0.346008,0.342205,0.346591,0.344086,0.336788,0.345912,0.338558,0.342711,0.343284,0.341509,0.355289,0.356897,0.350174,0.350575,0.330189,0.342784,0.342529,0.332353,4400,P.torta
0.356757,0.367347,0.364286,0.359477,0.354167,0.359155,0.348993,0.346154,0.342657,0.357542,0.357447,0.366438,0.361702,0.357143,0.356688,0.357143,0.35503,0.34507,0.357798,0.359649,0.365217,0.377622,0.359116,0.372093,0.368852,0.33913,0.335664,0.352273,0.347826,0.35,0.367925,0.370656,0.37013,0.342391,0.372549,4997,C.brasiliensis
0.365462,0.37037,0.375527,0.375,0.368889,0.374449,0.364532,0.363636,0.358871,0.36803,0.363636,0.373134,0.374126,0.37457,0.367769,0.371981,0.380091,0.373057,0.377143,0.370588,0.372414,0.38,0.365639,0.375479,0.377301,0.364532,0.3625,0.366379,0.373391,0.373134,0.377926,0.378882,0.376214,0.363946,0.373134,7334,M.rubiginosa
0.350877,0.351648,0.350598,0.336478,0.343511,0.352941,0.356877,0.35274,0.338462,0.353488,0.338308,0.346715,0.341772,0.359184,0.345277,0.347619,0.345725,0.35,0.358491,0.347222,0.347826,0.364486,0.352941,0.364929,0.370166,0.332215,0.348624,0.340102,0.337778,0.336323,0.345833,0.354651,0.343348,0.327354,0.356784,5637,P.torta
0.32767,0.338109,0.329815,0.336986,0.344828,0.337017,0.346457,0.342857,0.335802,0.347032,0.336158,0.342711,0.342043,0.343434,0.341801,0.349892,0.357708,0.345098,0.347917,0.352941,0.341629,0.340659,0.347032,0.332335,0.333333,0.337054,0.340961,0.339759,0.337209,0.340796,0.34,0.333333,0.332432,0.318501,0.329412,1280,C.brasiliensis
0.341108,0.331707,0.337156,0.337182,0.344498,0.340611,0.347826,0.346076,0.343882,0.349785,0.337461,0.350133,0.344737,0.353612,0.350775,0.355963,0.354344,0.350605,0.348511,0.349421,0.350101,0.337719,0.340956,0.340796,0.340611,0.334029,0.334842,0.337004,0.348214,0.354895,0.34657,0.335958,0.334702,0.330153,0.338902,4423,P.torta
0.333333,0.334651,0.330263,0.333333,0.330698,0.335092,0.333333,0.333333,0.333333,0.333333,0.334651,0.334211,0.335092,0.333773,0.334651,0.334651,0.335092,0.333333,0.333333,0.333333,0.333771,0.300275,0.333333,0.333333,0.31105,0.332895,0.333333,0.330698,0.333333,0.333333,0.333333,0.335535,0.327152,0.329829,0.303625,1806,M.rubiginosa
0.330688,0.338542,0.32,0.319444,0.322289,0.319527,0.325373,0.325444,0.325444,0.335312,0.335244,0.341289,0.329577,0.328841,0.333333,0.33241,0.349754,0.333333,0.33687,0.342784,0.339827,0.343458,0.336585,0.347953,0.339474,0.336022,0.33871,0.345154,0.340807,0.34023,0.346895,0.346479,0.341584,0.327473,0.344928,1326,C.brasiliensis
0.348571,0.326683,0.337812,0.341615,0.341053,0.338912,0.348018,0.345756,0.346154,0.350254,0.330033,0.336683,0.345845,0.355603,0.359375,0.358051,0.346232,0.342916,0.34433,0.341463,0.346062,0.332524,0.344186,0.337748,0.336683,0.343137,0.341026,0.352785,0.348285,0.352,0.34382,0.326984,0.330918,0.320988,0.336927,4548,P.torta
0.359438,0.349666,0.350318,0.348,0.345041,0.344538,0.353846,0.346983,0.342984,0.355263,0.342318,0.355658,0.354762,0.356322,0.35546,0.354125,0.347826,0.344554,0.345114,0.351464,0.354348,0.362473,0.351807,0.356784,0.350384,0.342711,0.345013,0.350404,0.347962,0.34375,0.342857,0.343109,0.342105,0.326923,0.343195,2432,A.tomentosum
0.311798,0.309353,0.310056,0.31044,0.311573,0.311765,0.313559,0.314448,0.30563,0.310526,0.303571,0.317829,0.302139,0.309179,0.313471,0.319095,0.323601,0.314496,0.321867,0.319712,0.318841,0.317848,0.317757,0.321229,0.323607,0.31992,0.320565,0.325056,0.321637,0.32563,0.338491,0.321937,0.324324,0.321773,0.325905,2438,P.torta
0.36214,0.371991,0.333333,0.374101,0.351351,0.352201,0.359281,0.353261,0.351648,0.369458,0.37415,0.37741,0.372294,0.361111,0.356322,0.366013,0.379888,0.339806,0.346154,0.342105,0.360825,0.370933,0.367816,0.36983,0.380952,0.349727,0.355372,0.363265,0.369318,0.366559,0.371166,0.366906,0.375839,0.355731,0.373853,5381,C.brasiliensis
0.348432,0.351351,0.344371,0.351974,0.343931,0.340625,0.355932,0.35906,0.345763,0.347003,0.342183,0.346354,0.343109,0.359331,0.345679,0.354938,0.356436,0.350133,0.342037,0.343284,0.352041,0.361582,0.373576,0.356322,0.356557,0.348354,0.356295,0.360129,0.352727,0.352697,0.352941,0.347682,0.348571,0.333333,0.354167,3674,M.rubiginosa
0.367089,0.376033,0.388889,0.379032,0.36036,0.354839,0.356061,0.352518,0.343511,0.364198,0.361809,0.367589,0.367742,0.350649,0.35461,0.368,0.367347,0.346154,0.352381,0.37069,0.372549,0.380769,0.363636,0.377119,0.380734,0.345133,0.355556,0.352273,0.362963,0.368421,0.373737,0.376106,0.378571,0.342541,0.380567,4916,C.brasiliensis
0.337374,0.336585,0.334694,0.342048,0.344681,0.343685,0.34357,0.351103,0.344231,0.347676,0.33494,0.342529,0.342105,0.338681,0.327628,0.344106,0.343257,0.340149,0.331512,0.330769,0.334728,0.33995,0.334052,0.340176,0.329787,0.328904,0.323529,0.328982,0.321608,0.315789,0.334812,0.332298,0.336,0.315668,0.335443,1170,C.brasiliensis
0.361111,0.37224,0.357143,0.357955,0.363128,0.351648,0.363636,0.35567,0.345946,0.356436,0.362934,0.365625,0.367257,0.354067,0.348485,0.353261,0.35533,0.340659,0.341463,0.349693,0.362637,0.375367,0.364055,0.371237,0.372483,0.34,0.340782,0.355856,0.338983,0.340782,0.365079,0.371134,0.372832,0.340517,0.371336,4575,C.brasiliensis
0.32636,0.286207,0.328042,0.330226,0.329801,0.333333,0.333333,0.330698,0.329829,0.333333,0.304054,0.323413,0.31935,0.333333,0.330698,0.333333,0.333333,0.333333,0.333333,0.333333,0.325321,0.300683,0.328418,0.30829,0.312977,0.332891,0.331572,0.31677,0.331143,0.322268,0.333333,0.30485,0.304245,0.305723,0.312139,1333,A.tomentosum
0.360324,0.370482,0.35533,0.367347,0.361386,0.366337,0.362245,0.359813,0.351759,0.355932,0.359431,0.366864,0.360324,0.356846,0.359447,0.360406,0.37037,0.361502,0.360215,0.36,0.369338,0.372671,0.360996,0.36755,0.37,0.351955,0.357143,0.359833,0.360406,0.358586,0.363296,0.368771,0.370572,0.346939,0.367284,4099,M.rubiginosa
0.365,0.378472,0.372549,0.373737,0.376543,0.364162,0.355191,0.352273,0.357513,0.367257,0.364238,0.37457,0.368852,0.365957,0.351648,0.361963,0.342697,0.348387,0.350746,0.34965,0.359504,0.379032,0.360947,0.368644,0.387597,0.364238,0.351515,0.361582,0.368715,0.360656,0.367965,0.373984,0.381381,0.356021,0.386266,7281,M.rubiginosa
0.363889,0.35446,0.365031,0.370717,0.360697,0.346698,0.365,0.359375,0.355499,0.365617,0.355172,0.365079,0.364458,0.366995,0.362229,0.362283,0.366292,0.367246,0.360656,0.366995,0.365672,0.370709,0.380577,0.381579,0.368421,0.367742,0.361702,0.370031,0.365188,0.363036,0.37234,0.373529,0.372414,0.350975,0.373057,4467,M.guianensis
0.333333,0.339233,0.323944,0.314642,0.321918,0.319298,0.329787,0.328767,0.323843,0.333333,0.335526,0.340782,0.333333,0.336601,0.334532,0.330855,0.343284,0.326087,0.325581,0.33463,0.343465,0.342424,0.331058,0.342756,0.348837,0.32636,0.32872,0.34386,0.336806,0.334532,0.343931,0.342466,0.338192,0.324405,0.339041,1477,C.brasiliensis
0.356688,0.376623,0.346154,0.333333,0.333333,0.35,0.333333,0.341667,0.333333,0.359756,0.365019,0.367698,0.359447,0.362637,0.365672,0.382022,0.386555,0.343434,0.348485,0.343137,0.379464,0.379433,0.352601,0.383562,0.3829,0.345679,0.34188,0.360902,0.342593,0.342342,0.366279,0.381148,0.382353,0.341463,0.382353,6378,C.brasiliensis
0.372727,0.35277,0.370588,0.372781,0.373563,0.360248,0.380282,0.360215,0.374384,0.352941,0.35,0.348765,0.355556,0.356481,0.359223,0.351648,0.360406,0.356098,0.348718,0.335106,0.355311,0.363014,0.363636,0.372093,0.371025,0.342697,0.347368,0.351485,0.354839,0.333333,0.363248,0.366534,0.366337,0.347826,0.376984,4051,M.rubiginosa
0.36036,0.349282,0.358607,0.357873,0.355828,0.355102,0.36087,0.357143,0.354839,0.356643,0.344353,0.354054,0.347107,0.35446,0.351621,0.350588,0.356077,0.347722,0.351942,0.358779,0.35443,0.356354,0.346049,0.352941,0.352436,0.343243,0.341463,0.350877,0.342466,0.34957,0.355932,0.343465,0.351145,0.33162,0.346041,2915,P.ramiflora
0.298851,0.297561,0.27972,0.277778,0.279412,0.282609,0.278571,0.281046,0.282759,0.288462,0.296089,0.309735,0.291925,0.289017,0.290909,0.290123,0.304598,0.278107,0.28125,0.289017,0.297778,0.308,0.304094,0.32,0.313131,0.291892,0.292553,0.305085,0.304813,0.308081,0.322581,0.323232,0.320675,0.289062,0.333333,6235,P.torta
0.368078,0.360902,0.37594,0.372483,0.375,0.371429,0.371237,0.369565,0.362676,0.37013,0.364179,0.365385,0.366559,0.368098,0.362776,0.369231,0.372093,0.366242,0.369281,0.369863,0.37574,0.368421,0.372937,0.370968,0.373913,0.365772,0.371025,0.369863,0.36755,0.371528,0.373041,0.374631,0.378173,0.351064,0.366864,4135,M.rubiginosa
0.325342,0.332288,0.308475,0.310219,0.320158,0.320158,0.324111,0.320312,0.311538,0.328125,0.335907,0.3375,0.325926,0.324528,0.325581,0.323651,0.337553,0.322449,0.324561,0.324561,0.336842,0.354478,0.326996,0.350806,0.341912,0.315789,0.318021,0.325843,0.317343,0.314607,0.339934,0.339483,0.330097,0.313589,0.340081,1289,C.brasiliensis
