@relation ephenology_all-5-fold-5-17R.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {C.brasiliensis,M.rubiginosa,P.torta,A.tomentosum,P.ramiflora,M.guianensis}

@data

0.311429,0.315104,0.307692,0.309309,0.307443,0.306452,0.306502,0.30625,0.304348,0.313187,0.304478,0.317708,0.306069,0.309406,0.311346,0.321053,0.326781,0.316953,0.323741,0.323462,0.318878,0.322251,0.319635,0.323034,0.323699,0.322851,0.320084,0.326291,0.322176,0.324009,0.335417,0.324786,0.327543,0.320248,0.326648,2513,P.torta
0.340153,0.333333,0.329004,0.328018,0.338673,0.335749,0.34596,0.329759,0.341667,0.356037,0.330097,0.338936,0.33119,0.346705,0.338369,0.338279,0.351429,0.340491,0.343042,0.342679,0.34349,0.341538,0.338462,0.344828,0.339683,0.338028,0.3375,0.339806,0.340984,0.331126,0.340599,0.350993,0.344729,0.317003,0.341549,1417,C.brasiliensis
0.349515,0.345372,0.342052,0.342495,0.343318,0.339492,0.35,0.344907,0.338667,0.336207,0.336538,0.34141,0.34292,0.35255,0.357143,0.351648,0.353247,0.348485,0.354497,0.357143,0.34878,0.346793,0.36193,0.344173,0.342391,0.35533,0.353234,0.361596,0.363171,0.357333,0.353211,0.340426,0.337696,0.328889,0.335277,1792,M.rubiginosa
0.359375,0.367397,0.362416,0.360248,0.359155,0.346939,0.358491,0.352273,0.350877,0.36,0.368201,0.375405,0.380208,0.362162,0.352941,0.362573,0.36612,0.345029,0.341935,0.352564,0.371429,0.37883,0.358079,0.375,0.375,0.340782,0.342857,0.360784,0.352113,0.351111,0.362229,0.37386,0.375,0.346429,0.376119,4463,C.brasiliensis
0.32,0.317204,0.317241,0.314815,0.314815,0.321637,0.320988,0.320225,0.319767,0.321839,0.322581,0.334842,0.319277,0.321608,0.322404,0.322917,0.341014,0.323383,0.318919,0.318182,0.318841,0.341346,0.32948,0.333333,0.335196,0.319767,0.320652,0.327381,0.327778,0.328205,0.334862,0.33908,0.330508,0.306977,0.335135,6291,P.torta
0.323529,0.32626,0.315,0.3275,0.328244,0.330882,0.335821,0.338061,0.334081,0.339578,0.327778,0.336562,0.336562,0.339785,0.336756,0.343228,0.349638,0.341847,0.341418,0.339114,0.334755,0.330808,0.33682,0.331361,0.328841,0.340909,0.338432,0.340206,0.341948,0.337374,0.33682,0.330189,0.326923,0.314286,0.328402,1160,C.brasiliensis
0.341014,0.361858,0.348837,0.360595,0.349835,0.350943,0.352518,0.345679,0.352,0.352941,0.352941,0.350267,0.359259,0.346008,0.344828,0.342742,0.348659,0.343284,0.33945,0.355856,0.356125,0.3531,0.359223,0.358839,0.361582,0.354633,0.344371,0.354037,0.354305,0.351724,0.349057,0.365439,0.362981,0.337209,0.364902,4540,C.brasiliensis
0.3625,0.397436,0.365079,0.354839,0.363636,0.342593,0.36036,0.340741,0.338843,0.357616,0.370892,0.377419,0.369231,0.353933,0.351724,0.352113,0.356688,0.35,0.333333,0.333333,0.366812,0.382759,0.373563,0.37931,0.375494,0.330645,0.329114,0.350877,0.34058,0.34507,0.362385,0.378092,0.371508,0.34555,0.381356,5339,C.brasiliensis
0.35473,0.37246,0.353846,0.356061,0.371542,0.354582,0.354167,0.349206,0.34981,0.357143,0.36962,0.367788,0.362319,0.355172,0.355482,0.361111,0.368231,0.357143,0.362445,0.371795,0.368146,0.374101,0.366366,0.37931,0.376559,0.340249,0.355769,0.357576,0.350515,0.348534,0.369509,0.374065,0.377193,0.353107,0.374396,3841,M.rubiginosa
0.341151,0.337017,0.339587,0.349901,0.346154,0.342155,0.348276,0.348112,0.349304,0.363825,0.34626,0.345411,0.353846,0.36673,0.368932,0.356436,0.364964,0.359489,0.359606,0.361156,0.34749,0.333333,0.361905,0.340909,0.343407,0.334737,0.362473,0.349206,0.344017,0.346359,0.34507,0.340491,0.327824,0.323256,0.329545,4832,P.torta
0.327327,0.336508,0.322148,0.320558,0.326165,0.326389,0.33218,0.326389,0.320144,0.332203,0.335616,0.340176,0.327815,0.324324,0.327586,0.330855,0.344697,0.326087,0.332061,0.335907,0.345515,0.350515,0.33,0.345588,0.342857,0.320312,0.331169,0.335593,0.328904,0.330935,0.343374,0.329545,0.32899,0.316832,0.333333,1223,C.brasiliensis
0.367742,0.378676,0.352564,0.382199,0.375691,0.380952,0.396947,0.370787,0.376923,0.394286,0.375546,0.386525,0.387283,0.384259,0.371429,0.374269,0.390152,0.390533,0.374126,0.390351,0.373134,0.383513,0.383838,0.391705,0.383436,0.368,0.366279,0.378238,0.369668,0.363128,0.380734,0.379538,0.384615,0.358586,0.376307,4643,M.rubiginosa
0.379798,0.36692,0.365897,0.368687,0.372617,0.368687,0.373239,0.36262,0.381919,0.375862,0.351562,0.359768,0.373967,0.369338,0.374016,0.371479,0.355224,0.363047,0.364217,0.364501,0.372093,0.364017,0.370618,0.362385,0.36971,0.368333,0.374138,0.379791,0.372134,0.378026,0.377682,0.37037,0.360947,0.352679,0.364734,5193,C.brasiliensis
0.381503,0.366548,0.369427,0.380488,0.346535,0.37619,0.379888,0.361582,0.354651,0.367232,0.367442,0.368056,0.367442,0.357798,0.347826,0.35023,0.356557,0.339286,0.339713,0.365462,0.356913,0.382857,0.361868,0.375839,0.373041,0.338542,0.337778,0.352941,0.338095,0.338384,0.359712,0.38,0.385294,0.336957,0.369637,4588,C.brasiliensis
0.350515,0.371859,0.355212,0.386139,0.402597,0.379562,0.370588,0.357143,0.363636,0.353698,0.358974,0.385604,0.35867,0.35241,0.376471,0.415584,0.391566,0.364198,0.368932,0.351759,0.357576,0.371968,0.353147,0.362745,0.397849,0.363636,0.359712,0.349558,0.357488,0.339806,0.364341,0.381818,0.386487,0.33829,0.380117,4120,M.rubiginosa
0.374101,0.362637,0.369748,0.372832,0.373887,0.377976,0.390728,0.384848,0.380503,0.3769,0.368421,0.378453,0.379085,0.375776,0.365449,0.358553,0.369822,0.357827,0.364549,0.365188,0.352941,0.355091,0.365994,0.363112,0.362117,0.369628,0.373938,0.367403,0.36338,0.367953,0.361582,0.365922,0.354978,0.339394,0.360775,4905,C.brasiliensis
0.361702,0.364486,0.36,0.361111,0.360544,0.355828,0.359116,0.361257,0.353846,0.366834,0.361702,0.364486,0.363636,0.3625,0.361607,0.365741,0.377682,0.364078,0.371287,0.373832,0.365772,0.372727,0.365854,0.370861,0.371069,0.366142,0.367041,0.372014,0.362264,0.365759,0.368243,0.371875,0.375691,0.357414,0.374603,4843,C.brasiliensis
