@relation ephenology_all-5-fold-1-18G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {P.torta,C.brasiliensis,M.rubiginosa,P.ramiflora,M.guianensis,A.tomentosum}

@data

0.333333,0.331787,0.331104,0.341137,0.337621,0.341772,0.33432,0.34626,0.344615,0.336,0.343511,0.342784,0.34492,0.342282,0.345714,0.340694,0.341615,0.349057,0.34202,0.348387,0.355705,0.348765,0.339869,0.357616,0.34375,0.354839,0.354244,0.362007,0.359649,0.362007,0.356667,0.348101,0.34593,0.350649,0.352564,5284,C.brasiliensis
0.318408,0.315136,0.319149,0.321678,0.319635,0.318605,0.320366,0.312796,0.313924,0.321716,0.318182,0.321656,0.32948,0.308861,0.328767,0.307278,0.305913,0.315508,0.314136,0.306977,0.309406,0.301994,0.314286,0.312849,0.3379,0.309148,0.301587,0.309589,0.309589,0.311798,0.307888,0.30791,0.314465,0.306452,0.303483,4446,P.torta
0.33871,0.343949,0.348416,0.347826,0.340249,0.340807,0.340249,0.35102,0.340426,0.340426,0.339552,0.343511,0.338583,0.339367,0.339844,0.346614,0.341772,0.337449,0.334975,0.328947,0.333333,0.336406,0.339056,0.336207,0.331492,0.337165,0.337607,0.33913,0.335714,0.336406,0.331967,0.335968,0.329317,0.325949,0.333333,5014,C.brasiliensis
0.314208,0.324713,0.32381,0.32899,0.321311,0.322148,0.331307,0.324324,0.326923,0.320955,0.321526,0.327027,0.333333,0.327128,0.330789,0.325203,0.31856,0.322222,0.326347,0.328691,0.322129,0.319559,0.320242,0.321127,0.321138,0.32398,0.326975,0.333333,0.32304,0.327731,0.324121,0.318408,0.328205,0.327586,0.325459,3558,M.rubiginosa
0.338889,0.344737,0.347541,0.340836,0.339683,0.335423,0.340361,0.333333,0.337662,0.341538,0.345912,0.334365,0.339181,0.328313,0.336232,0.329825,0.330065,0.331169,0.327815,0.321875,0.33119,0.33101,0.342412,0.338028,0.333333,0.337165,0.326154,0.330986,0.327869,0.327338,0.320819,0.326241,0.336601,0.320611,0.323625,3746,P.ramiflora
0.34375,0.332553,0.332378,0.32987,0.336735,0.333333,0.328537,0.331754,0.334184,0.335121,0.329439,0.336634,0.332512,0.340909,0.337662,0.345898,0.342246,0.349432,0.343465,0.340782,0.344311,0.33815,0.342424,0.355224,0.346154,0.34398,0.355828,0.339623,0.342233,0.350282,0.344648,0.347716,0.337531,0.336207,0.351064,5432,C.brasiliensis
0.326565,0.313274,0.332231,0.331768,0.324841,0.331058,0.321008,0.320574,0.333333,0.329412,0.337963,0.306542,0.338831,0.34188,0.33452,0.336937,0.344828,0.339695,0.337456,0.329193,0.330203,0.34275,0.317817,0.345259,0.333333,0.336887,0.333775,0.330523,0.32247,0.335605,0.323391,0.335283,0.338809,0.327511,0.319465,3461,M.rubiginosa
0.348449,0.346614,0.354633,0.356941,0.357143,0.351852,0.357576,0.354223,0.348214,0.352601,0.347458,0.348525,0.340541,0.348214,0.348774,0.340426,0.345646,0.346479,0.348534,0.349057,0.35,0.344729,0.344828,0.352239,0.34,0.33945,0.344262,0.345361,0.346604,0.342037,0.34715,0.344498,0.34715,0.341981,0.351585,4984,C.brasiliensis
0.341463,0.333333,0.346041,0.346154,0.342939,0.340237,0.333333,0.33687,0.335165,0.335196,0.339152,0.337963,0.340426,0.340206,0.343137,0.33913,0.341463,0.342043,0.342175,0.339713,0.348168,0.341232,0.339956,0.344262,0.348703,0.346667,0.343049,0.343284,0.347573,0.341202,0.350877,0.345912,0.343681,0.344383,0.345708,5301,C.brasiliensis
