@relation ephenology_all-5-fold-4-18G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {M.rubiginosa,P.torta,A.tomentosum,C.brasiliensis,M.guianensis,P.ramiflora}

@data

0.319892,0.317549,0.327869,0.327913,0.334197,0.334254,0.315927,0.32973,0.315789,0.328446,0.33631,0.329305,0.33815,0.322129,0.333333,0.334347,0.319149,0.327217,0.327217,0.325137,0.326471,0.341853,0.329588,0.336538,0.322917,0.342466,0.322997,0.325503,0.333333,0.336806,0.321101,0.327138,0.325424,0.333333,0.316265,4291,P.torta
0.32582,0.323789,0.32675,0.325,0.322971,0.324022,0.321083,0.322134,0.322772,0.323404,0.328205,0.321951,0.325758,0.327619,0.331959,0.333333,0.327122,0.335443,0.329317,0.323322,0.328897,0.331887,0.32287,0.330472,0.330986,0.32266,0.321486,0.322449,0.324094,0.324841,0.321862,0.321429,0.32767,0.328,0.319672,821,M.rubiginosa
0.316258,0.331313,0.328482,0.323467,0.327968,0.33049,0.32618,0.327696,0.323077,0.322738,0.330749,0.321782,0.324503,0.311547,0.320455,0.325112,0.324943,0.337264,0.327273,0.323829,0.317907,0.328467,0.328467,0.32783,0.321138,0.321256,0.344262,0.312896,0.328125,0.323851,0.315152,0.325926,0.329146,0.328084,0.306799,2796,P.torta
0.334702,0.336117,0.33211,0.337187,0.330986,0.333992,0.332669,0.336714,0.334728,0.335601,0.338624,0.332487,0.338174,0.325188,0.335417,0.334677,0.338,0.340164,0.337917,0.33506,0.33574,0.345572,0.3386,0.34632,0.330935,0.330337,0.338216,0.324578,0.327968,0.324771,0.322148,0.331868,0.333333,0.333333,0.321805,1805,A.tomentosum
0.328904,0.333333,0.340694,0.339506,0.340694,0.344156,0.335135,0.338843,0.340058,0.336283,0.344633,0.336088,0.341398,0.340836,0.344737,0.338384,0.338983,0.348259,0.328125,0.334963,0.331646,0.328804,0.33518,0.335165,0.332031,0.327128,0.325513,0.327273,0.32626,0.326599,0.328402,0.321212,0.328221,0.322674,0.324242,3617,A.tomentosum
0.338028,0.338462,0.344371,0.339683,0.344828,0.339564,0.337313,0.338109,0.337386,0.337278,0.331429,0.333333,0.332432,0.338462,0.337079,0.331476,0.337349,0.337243,0.33871,0.335366,0.339869,0.336232,0.339394,0.336336,0.337255,0.335244,0.346429,0.33642,0.335135,0.33871,0.339339,0.335277,0.332447,0.333333,0.341615,5996,C.brasiliensis
0.310078,0.315068,0.330144,0.322581,0.308696,0.310345,0.308756,0.311881,0.303318,0.299145,0.300813,0.30315,0.311475,0.303965,0.306773,0.304933,0.30137,0.304933,0.308057,0.304527,0.302905,0.308057,0.313726,0.310345,0.309392,0.310078,0.306667,0.313008,0.318182,0.317181,0.309702,0.317647,0.325671,0.317797,0.30855,3816,M.rubiginosa
0.340909,0.338422,0.335664,0.335616,0.342561,0.329787,0.338028,0.342466,0.331058,0.346667,0.340361,0.336257,0.332326,0.345515,0.337386,0.33815,0.335347,0.34375,0.336918,0.345277,0.339161,0.338182,0.344371,0.344482,0.345865,0.344353,0.346278,0.341317,0.34748,0.346032,0.341463,0.338109,0.339869,0.337017,0.345794,4784,C.brasiliensis
0.323718,0.334532,0.327206,0.325949,0.331169,0.325088,0.32459,0.326389,0.321678,0.329588,0.333333,0.340351,0.333333,0.337349,0.339416,0.346939,0.330033,0.34296,0.348,0.333333,0.334615,0.340081,0.3379,0.333333,0.336842,0.329588,0.334646,0.343612,0.342412,0.349057,0.337209,0.351145,0.346041,0.342391,0.326284,3814,A.tomentosum
