@relation ephenology_all-5-fold-3-18R.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {C.brasiliensis,P.ramiflora,P.torta,M.rubiginosa,M.guianensis,A.tomentosum}

@data

0.331325,0.346008,0.318493,0.325301,0.323194,0.304878,0.326087,0.316456,0.319549,0.294606,0.324415,0.301205,0.330218,0.320285,0.335312,0.333333,0.324219,0.321429,0.318777,0.317073,0.318182,0.336066,0.342466,0.319149,0.333333,0.320896,0.334728,0.323529,0.332155,0.322275,0.32,0.319149,0.320285,0.303644,0.353909,5546,P.torta
0.352778,0.354402,0.353659,0.353846,0.350148,0.361702,0.351275,0.358696,0.355114,0.345609,0.347826,0.340206,0.374677,0.358166,0.359043,0.351351,0.348485,0.350267,0.350148,0.343023,0.341538,0.359195,0.354938,0.357988,0.347458,0.339523,0.338558,0.347181,0.335878,0.347692,0.340974,0.337989,0.354571,0.335013,0.354354,5354,C.brasiliensis
0.338983,0.342857,0.347222,0.352941,0.34949,0.347594,0.346774,0.336,0.336134,0.336088,0.327327,0.327434,0.351852,0.346049,0.338667,0.34384,0.340909,0.342105,0.35,0.352459,0.35,0.336478,0.339623,0.3375,0.335135,0.3391,0.37931,0.34472,0.345345,0.349359,0.350877,0.342193,0.352201,0.322581,0.369318,2999,P.ramiflora
0.336049,0.342205,0.341826,0.349896,0.350394,0.344468,0.342916,0.343035,0.33617,0.339713,0.328165,0.329923,0.35,0.347639,0.340909,0.343936,0.337526,0.341772,0.347826,0.346008,0.345029,0.343949,0.333333,0.342268,0.334711,0.338028,0.357664,0.342742,0.341317,0.343035,0.344196,0.342222,0.348837,0.325183,0.343891,3161,P.ramiflora
0.282132,0.286164,0.265734,0.276094,0.278146,0.270833,0.283333,0.276667,0.274576,0.274306,0.266187,0.272727,0.293333,0.271478,0.28013,0.277592,0.27,0.278689,0.284281,0.280488,0.288026,0.294521,0.282353,0.278351,0.306358,0.283088,0.288889,0.285714,0.29582,0.28777,0.302181,0.275618,0.291228,0.263941,0.296053,6371,P.torta
0.311547,0.318872,0.323144,0.324094,0.327198,0.326403,0.323045,0.320717,0.31524,0.318182,0.304455,0.302158,0.331373,0.34296,0.325301,0.329268,0.328846,0.333333,0.339518,0.342905,0.347826,0.327381,0.31746,0.325052,0.32342,0.32634,0.356406,0.333333,0.325153,0.334653,0.33829,0.318486,0.318072,0.294574,0.365217,2934,P.torta
0.351438,0.353474,0.354244,0.340824,0.341912,0.347328,0.345588,0.343972,0.336957,0.335526,0.33642,0.340237,0.363914,0.338235,0.34,0.341463,0.341818,0.340741,0.341365,0.339552,0.332031,0.344961,0.365639,0.343629,0.339286,0.329861,0.331707,0.331818,0.333333,0.338028,0.326446,0.335938,0.343972,0.333333,0.337778,5663,C.brasiliensis
0.347339,0.356784,0.342949,0.339623,0.341538,0.349845,0.348974,0.355301,0.345912,0.345794,0.340764,0.345455,0.364162,0.347962,0.347826,0.348348,0.345566,0.348348,0.347541,0.344615,0.336538,0.35061,0.353801,0.350932,0.341564,0.345029,0.340557,0.344615,0.346883,0.346032,0.345133,0.353448,0.346269,0.342776,0.343653,4370,M.rubiginosa
0.34414,0.339109,0.347709,0.351706,0.353846,0.351282,0.347826,0.346633,0.345109,0.339726,0.333333,0.325513,0.35809,0.354054,0.349727,0.349162,0.337912,0.345506,0.350282,0.351562,0.354054,0.352071,0.348993,0.347953,0.341969,0.343042,0.379808,0.350575,0.345506,0.348214,0.355372,0.341538,0.348974,0.334483,0.359043,2998,P.ramiflora
0.362661,0.36194,0.36211,0.365796,0.363636,0.369469,0.362683,0.366667,0.365256,0.363218,0.362187,0.357488,0.380313,0.365116,0.367117,0.369928,0.370115,0.369955,0.369412,0.363029,0.362353,0.376106,0.361522,0.366589,0.355072,0.36211,0.361502,0.363014,0.36383,0.368171,0.359914,0.361233,0.369942,0.35732,0.348115,4241,M.rubiginosa
0.304762,0.314465,0.313025,0.313765,0.310547,0.312127,0.308468,0.304175,0.296842,0.298539,0.291572,0.287016,0.31405,0.310413,0.307536,0.307385,0.302419,0.303347,0.307851,0.311909,0.319066,0.302575,0.303944,0.308642,0.313846,0.305376,0.349693,0.31384,0.309434,0.318008,0.320442,0.30505,0.307054,0.288747,0.351064,3238,P.torta
0.370656,0.379747,0.35743,0.366667,0.361111,0.365639,0.364,0.379182,0.362637,0.358974,0.360825,0.369906,0.396226,0.368,0.361403,0.367816,0.372093,0.372642,0.364078,0.362069,0.362319,0.401099,0.416667,0.378378,0.368421,0.366071,0.326733,0.377246,0.384615,0.393162,0.368132,0.37037,0.38326,0.378109,0.369942,7335,M.rubiginosa
0.354005,0.369198,0.358663,0.355932,0.346705,0.363636,0.354749,0.361702,0.354286,0.351801,0.356784,0.352941,0.377551,0.353448,0.356955,0.365979,0.355742,0.357143,0.357595,0.344214,0.33642,0.357558,0.360111,0.356522,0.345725,0.351421,0.334311,0.357724,0.357968,0.357724,0.351421,0.352357,0.362694,0.350242,0.342246,5251,C.brasiliensis
0.342784,0.350348,0.344118,0.344118,0.345404,0.348485,0.349462,0.355014,0.337143,0.358904,0.361111,0.364362,0.379501,0.357771,0.346479,0.355932,0.33795,0.319559,0.33526,0.336898,0.32964,0.333333,0.343931,0.343662,0.351852,0.347432,0.358824,0.348837,0.353511,0.35514,0.35248,0.36,0.359184,0.358974,0.346437,4644,M.guianensis
0.322078,0.331671,0.323864,0.327778,0.326146,0.331492,0.325269,0.327177,0.321229,0.322857,0.316716,0.317919,0.339833,0.330508,0.331476,0.332402,0.325714,0.330508,0.33046,0.330709,0.331507,0.335211,0.332226,0.334286,0.331797,0.320988,0.34596,0.334262,0.330623,0.329513,0.328947,0.328488,0.334232,0.305949,0.34026,4950,P.torta
0.365132,0.360802,0.352201,0.357576,0.35119,0.361371,0.355422,0.364162,0.346626,0.349693,0.35014,0.355372,0.37883,0.348485,0.356125,0.363388,0.356322,0.352941,0.356209,0.347181,0.345277,0.354633,0.362319,0.355828,0.339552,0.353591,0.34,0.354839,0.355263,0.356467,0.347826,0.356725,0.356522,0.357527,0.347432,4881,C.brasiliensis
